,notes,train_acc,train_loss,val_acc,val_loss
0,,0.49,1.4890,0.38,2.7000
1,,0.52,1.2904,0.28,3.3177
2,,0.53,1.2252,0.46,1.8492
3,,0.58,1.0757,0.41,1.5831
4,,0.62,0.9974,0.54,1.1547
5,,0.67,0.8724,0.47,5.1692
6,,0.67,0.8741,0.51,1.6482
7,created new SGD optimizer with LR: 0.00100000000000000002,0.70,0.8157,0.54,2.7712
8,,0.70,0.7460,0.39,2.5534
9,,0.78,0.6082,0.62,1.3011
10,,0.80,0.5117,0.68,1.2282
11,,0.87,0.4136,0.68,0.8526
12,,0.87,0.3614,0.66,1.1818
13,,0.87,0.3676,0.70,1.1441
14,,0.86,0.3822,0.61,1.3830
15,created new SGD optimizer with LR: 0.0001,0.89,0.3019,0.70,1.1405
16,,0.94,0.2286,0.66,1.4977
17,,0.90,0.2547,0.69,1.1887
18,,0.92,0.2435,0.71,1.1549
19,,0.92,0.2358,0.71,1.0193
20,,0.92,0.2205,0.70,1.1353
21,,0.93,0.2287,0.64,1.1102
22,,0.95,0.1857,0.65,1.0885
23,created new SGD optimizer with LR: 0.00001,0.92,0.2072,0.72,1.0857
24,,0.94,0.2045,0.70,0.9147
25,,0.94,0.2044,0.68,1.5665
26,,0.96,0.1862,0.72,1.0015
27,,0.92,0.2109,0.69,1.5781
28,,0.94,0.1974,0.71,1.2763
29,,0.95,0.1936,0.68,1.0115
30,,0.96,0.1836,0.74,1.2734
31,created new SGD optimizer with LR: 0.000001,0.95,0.1898,0.71,1.4342
32,,0.92,0.2252,0.66,1.4943
33,,0.95,0.1937,0.72,1.0468
34,,0.94,0.1946,0.70,1.1430
35,,0.94,0.2022,0.65,1.3091
36,,0.94,0.2051,0.61,1.0547
37,,0.95,0.1937,0.70,0.9434
38,,0.94,0.2308,0.69,1.1980
39,created new SGD optimizer with LR: 0.0000001,0.94,0.1965,0.70,0.9819
40,,0.95,0.1816,0.68,1.4032
41,,0.93,0.2239,0.68,1.4248
42,,0.94,0.1940,0.68,1.1559
43,,0.94,0.2051,0.74,0.9687
44,,0.94,0.2283,0.74,0.9812
45,,0.95,0.2138,0.70,0.8805
46,,0.94,0.2032,0.70,1.1786
47,created new SGD optimizer with LR: 0.00000001,0.95,0.1776,0.70,0.8738
48,,0.94,0.1849,0.68,0.8921
49,,0.96,0.1863,0.71,0.9488
