,notes,train_acc,train_loss,val_acc,val_loss
0,,0.52,1.3284,0.20,3.9472
1,,0.50,1.4031,0.34,2.2087
2,,0.41,1.5804,0.42,1.5608
3,,0.42,1.5701,0.42,1.5422
4,,0.40,1.5738,0.42,1.5450
5,,0.42,1.5601,0.42,1.5462
6,,0.41,1.5743,0.42,1.5375
7,created new SGD optimizer with LR: 0.00100000000000000002,0.41,1.5563,0.42,1.5547
8,,0.42,1.5521,0.26,1.7414
9,,0.40,1.5380,0.42,1.4220
10,,0.48,1.3874,0.49,1.3782
11,,0.55,1.2372,0.53,1.3330
12,,0.54,1.1842,0.49,1.3505
13,,0.61,1.0632,0.42,1.3240
14,,0.63,0.9804,0.55,1.1516
15,created new SGD optimizer with LR: 0.0001,0.66,0.8746,0.55,1.3939
16,,0.73,0.7620,0.54,1.2361
17,,0.75,0.6707,0.57,1.1460
18,,0.78,0.6023,0.62,1.0859
19,,0.79,0.5697,0.57,0.9829
20,,0.82,0.5293,0.59,1.0416
21,,0.81,0.5192,0.61,1.0112
22,,0.83,0.4915,0.60,1.0212
23,created new SGD optimizer with LR: 0.00001,0.84,0.4734,0.60,1.0346
24,,0.82,0.4666,0.60,0.9965
25,,0.85,0.4444,0.60,1.0001
26,,0.85,0.4391,0.59,1.0063
27,,0.85,0.4260,0.59,1.0085
28,,0.84,0.4293,0.57,1.0160
29,,0.86,0.4304,0.59,1.0210
30,,0.84,0.4373,0.59,1.0252
31,created new SGD optimizer with LR: 0.000001,0.85,0.4258,0.57,1.0232
32,,0.85,0.4285,0.59,1.0214
33,,0.84,0.4265,0.59,1.0213
34,,0.86,0.4230,0.59,1.0219
35,,0.85,0.4312,0.59,1.0221
36,,0.85,0.4344,0.59,1.0220
37,,0.85,0.4297,0.59,1.0223
38,,0.86,0.4244,0.59,1.0222
39,created new SGD optimizer with LR: 0.0000001,0.85,0.4331,0.59,1.0220
40,,0.86,0.4256,0.59,1.0221
41,,0.83,0.4354,0.59,1.0221
42,,0.86,0.4262,0.59,1.0221
43,,0.85,0.4227,0.59,1.0221
44,,0.85,0.4227,0.59,1.0221
45,,0.85,0.4247,0.59,1.0221
46,,0.85,0.4278,0.59,1.0221
47,created new SGD optimizer with LR: 0.00000001,0.86,0.4199,0.59,1.0221
48,,0.85,0.4234,0.59,1.0221
49,,0.85,0.4245,0.59,1.0221
