,notes,train_acc,train_loss,val_acc,val_loss
0,,0.44,1.5945,0.28,2.4779
1,,0.46,1.3438,0.49,1.4003
2,,0.57,1.1919,0.50,2.9105
3,,0.54,1.1548,0.53,1.1424
4,,0.64,0.9243,0.56,1.9575
5,,0.70,0.8215,0.54,1.9627
6,,0.71,0.8051,0.60,1.8793
7,created new SGD optimizer with LR: 0.00100000000000000002,0.71,0.7972,0.62,1.6853
8,,0.72,0.8013,0.64,1.0046
9,,0.79,0.5744,0.64,1.2112
10,,0.82,0.4710,0.65,0.8987
11,,0.85,0.4005,0.74,0.9429
12,,0.88,0.3561,0.64,1.2446
13,,0.90,0.2961,0.79,0.7292
14,,0.88,0.3164,0.70,0.8590
15,created new SGD optimizer with LR: 0.0001,0.93,0.2396,0.71,0.7873
16,,0.88,0.3017,0.71,0.9268
17,,0.95,0.2036,0.79,0.7745
18,,0.92,0.2423,0.74,1.0248
19,,0.92,0.2399,0.71,0.9259
20,,0.91,0.2439,0.71,1.2082
21,,0.93,0.2331,0.78,0.7178
22,,0.93,0.2209,0.78,0.9558
23,created new SGD optimizer with LR: 0.00001,0.93,0.2428,0.78,0.8330
24,,0.95,0.1845,0.80,0.6462
25,,0.95,0.1853,0.79,0.7112
26,,0.95,0.2014,0.71,1.0021
27,,0.95,0.1818,0.72,0.7865
28,,0.95,0.2054,0.74,0.9389
29,,0.95,0.1988,0.68,1.2761
30,,0.96,0.1731,0.74,0.7455
31,created new SGD optimizer with LR: 0.000001,0.91,0.2447,0.75,1.0825
32,,0.96,0.1828,0.74,0.9314
33,,0.93,0.2050,0.72,0.9360
34,,0.94,0.2218,0.71,0.9525
35,,0.93,0.2093,0.76,0.8887
36,,0.91,0.2477,0.66,1.5344
37,,0.94,0.2144,0.76,0.9444
38,,0.96,0.1683,0.61,1.3061
39,created new SGD optimizer with LR: 0.0000001,0.94,0.2063,0.71,1.2044
40,,0.94,0.2216,0.79,0.7823
41,,0.94,0.2040,0.76,0.6932
42,,0.94,0.1963,0.80,0.6711
43,,0.94,0.2041,0.80,0.8268
44,,0.94,0.1873,0.78,0.7346
45,,0.94,0.2011,0.80,0.7619
46,,0.94,0.2051,0.71,1.0375
47,created new SGD optimizer with LR: 0.00000001,0.94,0.1993,0.78,1.0981
48,,0.93,0.2426,0.72,0.8983
49,,0.94,0.2008,0.71,0.9622
