,notes,train_acc,train_loss,val_acc,val_loss
0,,0.41,1.5707,0.46,1.5095
1,,0.52,1.4208,0.49,1.3799
2,,0.54,1.2849,0.51,1.3522
3,,0.55,1.1925,0.38,1.6201
4,,0.59,1.0801,0.55,1.4887
5,,0.62,1.0091,0.51,1.7078
6,,0.67,0.8251,0.31,1.7481
7,created new SGD optimizer with LR: 0.00100000000000000002,0.71,0.7817,0.59,1.9009
8,,0.71,0.7574,0.56,1.4568
9,,0.78,0.6305,0.59,1.4317
10,,0.81,0.5596,0.65,1.1253
11,,0.85,0.5164,0.65,1.1371
12,,0.83,0.4773,0.60,1.3047
13,,0.86,0.4223,0.64,1.6758
14,,0.87,0.3772,0.64,0.9733
15,created new SGD optimizer with LR: 0.0001,0.93,0.2758,0.65,0.9534
16,,0.90,0.3310,0.62,1.1099
17,,0.89,0.3396,0.53,2.7336
18,,0.86,0.4428,0.66,0.9559
19,,0.91,0.3002,0.68,0.9873
20,,0.85,0.3951,0.64,1.7052
21,,0.94,0.2580,0.65,1.1284
22,,0.90,0.3160,0.69,1.7676
23,created new SGD optimizer with LR: 0.00001,0.91,0.3136,0.62,1.2595
24,,0.89,0.3468,0.55,2.7597
25,,0.89,0.3768,0.71,1.0325
26,,0.92,0.3013,0.56,1.5280
27,,0.92,0.2818,0.66,1.0353
28,,0.94,0.2467,0.68,0.9489
29,,0.93,0.3006,0.70,0.9198
30,,0.92,0.2563,0.69,1.0830
31,created new SGD optimizer with LR: 0.000001,0.91,0.2973,0.66,1.0176
32,,0.91,0.2817,0.74,0.8541
33,,0.89,0.3385,0.72,0.8500
34,,0.88,0.3351,0.72,0.9763
35,,0.91,0.2798,0.71,0.9860
36,,0.92,0.2811,0.70,1.0568
37,,0.90,0.3570,0.74,0.8754
38,,0.92,0.2812,0.54,1.6125
39,created new SGD optimizer with LR: 0.0000001,0.91,0.3081,0.65,1.2190
40,,0.92,0.2902,0.68,0.9467
41,,0.91,0.3520,0.61,1.2130
42,,0.93,0.2514,0.69,1.1149
43,,0.93,0.2576,0.71,1.0907
44,,0.93,0.2749,0.70,1.1077
45,,0.92,0.2944,0.59,1.3089
46,,0.91,0.2865,0.68,1.0229
47,created new SGD optimizer with LR: 0.00000001,0.91,0.3362,0.69,0.8818
48,,0.91,0.3032,0.68,1.4384
49,,0.90,0.3128,0.64,1.1439
