,notes,train_acc,train_loss,val_acc,val_loss
0,,0.53,1.3652,0.38,1.7353
1,,0.61,1.1283,0.47,2.3596
2,,0.65,1.0408,0.53,3.8901
3,,0.69,0.9129,0.41,2.1713
4,,0.76,0.7087,0.50,2.2661
5,,0.78,0.6543,0.57,1.5294
6,,0.82,0.5678,0.59,3.8398
7,created new SGD optimizer with LR: 0.00100000000000000002,0.83,0.5479,0.64,1.4004
8,,0.89,0.3267,0.42,3.0406
9,,0.86,0.4342,0.70,1.0283
10,,0.91,0.2448,0.70,1.0901
11,,0.93,0.2166,0.75,1.1050
12,,0.97,0.1016,0.71,1.6010
13,,0.98,0.1004,0.60,1.7711
14,,0.96,0.1252,0.56,3.3085
15,created new SGD optimizer with LR: 0.0001,0.97,0.0937,0.79,1.0080
16,,0.98,0.0898,0.74,1.0430
17,,0.98,0.0680,0.81,0.9158
18,,0.97,0.1073,0.75,1.3366
19,,0.99,0.0556,0.75,1.1251
20,,0.97,0.0934,0.71,1.7327
21,,0.98,0.0868,0.68,1.0753
22,,0.99,0.0505,0.75,0.8441
23,created new SGD optimizer with LR: 0.00001,0.97,0.0916,0.76,1.0780
24,,0.96,0.1288,0.76,0.9781
25,,0.96,0.1154,0.78,1.0847
26,,0.99,0.0522,0.57,1.4155
27,,0.98,0.0686,0.68,1.5587
28,,0.99,0.0532,0.79,0.7323
29,,0.98,0.0626,0.75,1.0139
30,,0.97,0.0982,0.70,1.1360
31,created new SGD optimizer with LR: 0.000001,0.99,0.0672,0.75,1.0255
32,,0.98,0.0722,0.75,0.8849
33,,0.98,0.0806,0.71,1.1827
34,,0.99,0.0509,0.65,1.8859
35,,0.98,0.0684,0.53,1.6655
36,,0.99,0.0685,0.79,0.9757
37,,0.97,0.0779,0.64,1.5226
38,,0.97,0.0859,0.69,1.4675
39,created new SGD optimizer with LR: 0.0000001,0.98,0.0695,0.65,2.2732
40,,0.99,0.0493,0.71,1.5353
41,,0.97,0.0995,0.71,1.1226
42,,0.99,0.0631,0.72,1.1614
43,,0.97,0.1087,0.60,2.8076
44,,0.98,0.0752,0.72,1.0112
45,,0.99,0.0485,0.75,0.9754
46,,0.98,0.0632,0.71,1.7157
47,created new SGD optimizer with LR: 0.00000001,0.98,0.0766,0.69,1.3374
48,,0.97,0.0897,0.74,1.0482
49,,0.99,0.0560,0.64,1.1675
