,notes,train_acc,train_loss,val_acc,val_loss
0,,0.98,0.0411,0.49,4.7840
1,,0.94,0.2574,0.59,2.6325
2,,0.97,0.1322,0.76,3.0972
3,,1.00,0.0174,0.81,1.4308
4,,0.99,0.0262,0.76,1.2789
5,,0.99,0.0205,0.75,1.2920
6,,0.99,0.0211,0.78,1.4378
7,created new SGD optimizer with LR: 0.00100000000000000002,0.99,0.0218,0.74,1.2671
8,,1.00,0.0178,0.78,1.3820
9,,0.99,0.0160,0.80,1.2401
10,,0.99,0.0393,0.75,1.2600
11,,1.00,0.0084,0.85,1.4921
12,,0.99,0.0158,0.79,1.3873
13,,1.00,0.0076,0.71,1.6454
14,,0.99,0.0167,0.69,2.1181
15,created new SGD optimizer with LR: 0.0001,1.00,0.0017,0.76,1.3065
16,,1.00,0.0026,0.82,0.8990
17,,0.99,0.0280,0.82,0.8660
18,,1.00,0.0073,0.72,1.4221
19,,1.00,0.0026,0.78,1.3760
20,,1.00,0.0074,0.71,1.8832
21,,1.00,0.0065,0.81,0.7473
22,,1.00,0.0060,0.81,1.0039
23,created new SGD optimizer with LR: 0.00001,1.00,0.0029,0.78,1.3561
24,,1.00,0.0087,0.80,0.8431
25,,1.00,0.0047,0.62,1.6065
26,,1.00,0.0035,0.82,1.0703
27,,1.00,0.0023,0.75,1.4956
28,,0.99,0.0146,0.81,1.3718
29,,1.00,0.0056,0.75,1.0890
30,,0.99,0.0305,0.80,1.0608
31,created new SGD optimizer with LR: 0.000001,1.00,0.0072,0.71,1.7604
32,,1.00,0.0040,0.84,0.6702
33,,0.99,0.0769,0.81,1.3723
34,,0.99,0.0878,0.82,0.6079
35,,0.99,0.0275,0.78,0.8055
36,,1.00,0.0106,0.79,1.4391
37,,1.00,0.0061,0.82,1.2785
38,,0.99,0.0230,0.72,1.4411
39,created new SGD optimizer with LR: 0.0000001,1.00,0.0072,0.72,1.4873
40,,0.99,0.0196,0.69,1.4991
41,,0.99,0.0125,0.64,2.0167
42,,0.99,0.0240,0.74,2.1310
43,,0.99,0.0276,0.68,3.7523
44,,0.99,0.0138,0.72,2.9122
45,,0.99,0.0253,0.72,1.3300
46,,0.99,0.0086,0.76,2.0777
47,created new SGD optimizer with LR: 0.00000001,1.00,0.0105,0.81,1.0485
48,,1.00,0.0150,0.72,1.2689
49,,0.99,0.0094,0.78,1.5875
