,notes,train_acc,train_loss,val_acc,val_loss
0,,0.41,1.5655,0.50,1.4572
1,,0.53,1.3682,0.47,1.5320
2,,0.53,1.3287,0.46,1.6291
3,,0.58,1.1233,0.50,1.4885
4,,0.59,1.0876,0.53,1.4693
5,,0.67,0.9427,0.54,1.5002
6,,0.68,0.8970,0.33,2.5236
7,created new SGD optimizer with LR: 0.00100000000000000002,0.74,0.7602,0.25,8.2997
8,,0.71,0.7940,0.62,1.7869
9,,0.82,0.5079,0.62,1.2262
10,,0.86,0.4280,0.57,2.3429
11,,0.88,0.3593,0.65,1.3235
12,,0.86,0.4015,0.69,1.3665
13,,0.89,0.3355,0.69,1.1302
14,,0.93,0.2317,0.68,1.0844
15,created new SGD optimizer with LR: 0.0001,0.93,0.2260,0.66,1.2746
16,,0.95,0.1929,0.71,1.1502
17,,0.92,0.2135,0.66,2.0828
18,,0.92,0.2246,0.61,2.2663
19,,0.95,0.1545,0.60,1.2600
20,,0.93,0.2452,0.68,1.3311
21,,0.95,0.1725,0.72,0.9422
22,,0.94,0.2098,0.62,1.2342
23,created new SGD optimizer with LR: 0.00001,0.94,0.1974,0.65,1.4717
24,,0.92,0.2523,0.72,1.1116
25,,0.96,0.1486,0.69,1.5373
26,,0.96,0.1560,0.70,1.0501
27,,0.94,0.1683,0.68,1.2881
28,,0.96,0.1586,0.72,1.0026
29,,0.92,0.2285,0.72,0.9837
30,,0.92,0.2369,0.66,1.2582
31,created new SGD optimizer with LR: 0.000001,0.94,0.1951,0.70,0.9935
32,,0.93,0.2281,0.64,0.9037
33,,0.92,0.1926,0.62,1.3269
34,,0.94,0.2046,0.69,1.0071
35,,0.95,0.1967,0.71,1.1529
36,,0.94,0.1959,0.72,1.2915
37,,0.95,0.1925,0.72,1.0837
38,,0.93,0.2025,0.66,1.3737
39,created new SGD optimizer with LR: 0.0000001,0.95,0.1702,0.69,1.0504
40,,0.96,0.1757,0.70,0.9334
41,,0.94,0.2011,0.62,1.0397
42,,0.95,0.1844,0.74,0.9328
43,,0.96,0.1656,0.69,1.1926
44,,0.95,0.1629,0.71,0.9995
45,,0.95,0.1972,0.69,1.3258
46,,0.93,0.2193,0.72,1.2913
47,created new SGD optimizer with LR: 0.00000001,0.95,0.1728,0.71,0.8865
48,,0.95,0.1962,0.71,0.9758
49,,0.94,0.1793,0.71,1.2822
