,notes,train_acc,train_loss,val_acc,val_loss
0,,0.42,1.5590,0.46,1.4675
1,,0.54,1.2841,0.50,1.6541
2,,0.56,1.2710,0.44,1.6554
3,,0.57,1.1517,0.50,1.6597
4,,0.60,1.0850,0.51,1.2363
5,,0.63,1.0134,0.56,1.1377
6,,0.69,0.8811,0.61,1.9040
7,created new SGD optimizer with LR: 0.00100000000000000002,0.69,0.8435,0.35,2.1721
8,,0.73,0.7608,0.59,1.4902
9,,0.73,0.7850,0.59,1.0789
10,,0.80,0.5611,0.59,1.2045
11,,0.82,0.5163,0.62,1.1504
12,,0.88,0.4106,0.69,1.0495
13,,0.87,0.3927,0.70,0.7983
14,,0.86,0.4135,0.72,1.0054
15,created new SGD optimizer with LR: 0.0001,0.86,0.3921,0.66,1.2858
16,,0.88,0.3915,0.74,0.7464
17,,0.89,0.3413,0.61,2.0327
18,,0.87,0.3860,0.68,2.0099
19,,0.91,0.2959,0.69,0.9374
20,,0.93,0.2654,0.66,0.9608
21,,0.92,0.2650,0.56,1.6455
22,,0.91,0.2899,0.60,1.4951
23,created new SGD optimizer with LR: 0.00001,0.93,0.2544,0.71,1.0138
24,,0.93,0.2654,0.66,0.7857
25,,0.91,0.3048,0.64,1.0975
26,,0.93,0.2873,0.59,1.2879
27,,0.87,0.3327,0.65,1.4940
28,,0.87,0.3879,0.70,0.9116
29,,0.92,0.2738,0.70,0.8389
30,,0.91,0.2700,0.55,1.3951
31,created new SGD optimizer with LR: 0.000001,0.90,0.2992,0.68,1.0320
32,,0.91,0.2872,0.47,1.8593
33,,0.92,0.2904,0.57,1.1806
34,,0.92,0.2804,0.62,1.2894
35,,0.93,0.2692,0.68,0.9956
36,,0.89,0.3283,0.61,1.8794
37,,0.89,0.3074,0.61,2.4291
38,,0.92,0.2764,0.68,1.0666
39,created new SGD optimizer with LR: 0.0000001,0.91,0.3022,0.60,1.4854
40,,0.89,0.3253,0.60,1.2431
41,,0.89,0.3154,0.62,1.1800
42,,0.91,0.2870,0.65,1.0331
43,,0.91,0.3073,0.65,1.0445
44,,0.91,0.2797,0.72,0.9419
45,,0.89,0.3183,0.64,1.1151
46,,0.90,0.3107,0.68,0.9081
47,created new SGD optimizer with LR: 0.00000001,0.91,0.2579,0.54,1.5433
48,,0.91,0.3127,0.71,0.8714
49,,0.93,0.2631,0.65,1.1436
