,notes,train_acc,train_loss,val_acc,val_loss
0,,0.48,1.4780,0.29,1.8424
1,,0.54,1.2579,0.55,1.3737
2,,0.59,1.1138,0.30,2.0560
3,,0.60,1.1097,0.46,1.5580
4,,0.67,0.8789,0.31,3.5225
5,,0.68,0.8176,0.54,3.4916
6,,0.72,0.7877,0.56,1.0873
7,created new SGD optimizer with LR: 0.00100000000000000002,0.77,0.6311,0.54,1.7139
8,,0.79,0.5810,0.54,1.6663
9,,0.79,0.5271,0.69,1.0706
10,,0.90,0.3211,0.74,0.9014
11,,0.92,0.2597,0.71,0.6984
12,,0.92,0.2552,0.75,0.5272
13,,0.94,0.2181,0.72,1.0839
14,,0.96,0.1643,0.78,0.6628
15,created new SGD optimizer with LR: 0.0001,0.97,0.1403,0.78,0.7131
16,,0.94,0.1812,0.69,1.2375
17,,0.96,0.1397,0.71,1.1475
18,,0.96,0.1470,0.78,0.8241
19,,0.94,0.1870,0.75,0.6702
20,,0.93,0.1869,0.72,0.9406
21,,0.93,0.1728,0.69,1.3348
22,,0.97,0.1287,0.75,0.5927
23,created new SGD optimizer with LR: 0.00001,0.96,0.1440,0.75,0.6978
24,,0.96,0.1355,0.78,0.7567
25,,0.97,0.1209,0.74,0.8446
26,,0.97,0.1243,0.72,1.1498
27,,0.97,0.1131,0.72,0.9404
28,,0.93,0.1986,0.71,0.8868
29,,0.96,0.1308,0.79,0.7381
30,,0.96,0.1115,0.70,0.8777
31,created new SGD optimizer with LR: 0.000001,0.98,0.1154,0.79,0.5431
32,,0.98,0.1001,0.74,1.1130
33,,0.97,0.1200,0.72,0.8977
34,,0.96,0.1271,0.78,0.9236
35,,0.95,0.1564,0.74,0.7107
36,,0.96,0.1403,0.78,0.9013
37,,0.97,0.1254,0.74,0.8312
38,,0.96,0.1518,0.72,0.9243
39,created new SGD optimizer with LR: 0.0000001,0.96,0.1468,0.72,1.2303
40,,0.96,0.1341,0.72,0.8614
41,,0.98,0.0868,0.71,1.0297
42,,0.97,0.1322,0.72,0.7699
43,,0.97,0.1171,0.78,0.7047
44,,0.98,0.1139,0.71,0.9596
45,,0.96,0.1279,0.76,0.9606
46,,0.96,0.1522,0.70,0.7836
47,created new SGD optimizer with LR: 0.00000001,0.95,0.1705,0.72,0.9867
48,,0.95,0.1585,0.76,1.0521
49,,0.96,0.1384,0.68,1.7001
