,notes,train_acc,train_loss,val_acc,val_loss
0,,0.69,1.0370,0.64,1.8469
1,,0.86,0.5040,0.60,1.8778
2,,0.90,0.3391,0.25,6.7008
3,,0.89,0.5066,0.64,1.3817
4,,0.96,0.1475,0.72,1.1198
5,,0.97,0.0817,0.72,1.2811
6,,0.98,0.0490,0.57,3.0629
7,created new SGD optimizer with LR: 0.00100000000000000002,0.98,0.0947,0.71,1.3701
8,,0.99,0.0606,0.72,1.3965
9,,0.98,0.0484,0.56,3.0987
10,,0.98,0.0478,0.71,1.2158
11,,0.97,0.0872,0.72,2.0334
12,,0.97,0.0836,0.76,1.3135
13,,0.99,0.0235,0.71,2.0527
14,,1.00,0.0099,0.80,0.7267
15,created new SGD optimizer with LR: 0.0001,0.99,0.0370,0.81,1.0054
16,,0.98,0.0515,0.82,0.9185
17,,0.99,0.0228,0.75,1.4531
18,,0.99,0.0164,0.68,1.6028
19,,0.99,0.0220,0.72,1.3864
20,,1.00,0.0064,0.78,0.9975
21,,0.99,0.0171,0.78,1.1825
22,,1.00,0.0062,0.74,1.0601
23,created new SGD optimizer with LR: 0.00001,0.99,0.0152,0.76,1.4570
24,,0.99,0.0369,0.78,0.9363
25,,1.00,0.0085,0.79,0.7838
26,,0.99,0.0212,0.81,0.8901
27,,0.99,0.0134,0.74,2.0523
28,,0.99,0.0182,0.75,2.2298
29,,1.00,0.0148,0.82,0.8088
30,,1.00,0.0125,0.79,1.0162
31,created new SGD optimizer with LR: 0.000001,1.00,0.0158,0.82,0.5967
32,,1.00,0.0067,0.84,0.6840
33,,1.00,0.0104,0.78,1.1688
34,,1.00,0.0108,0.82,0.7814
35,,1.00,0.0105,0.74,1.5580
36,,0.99,0.0202,0.72,1.0258
37,,0.99,0.0231,0.76,1.5626
38,,1.00,0.0096,0.71,1.1442
39,created new SGD optimizer with LR: 0.0000001,0.99,0.0130,0.80,1.4641
40,,0.99,0.0297,0.71,1.3478
41,,1.00,0.0090,0.71,1.4180
42,,0.99,0.0110,0.74,1.9663
43,,0.99,0.0172,0.81,1.1156
44,,0.98,0.0491,0.78,0.8418
45,,0.99,0.0186,0.68,2.4287
46,,1.00,0.0102,0.81,0.8143
47,created new SGD optimizer with LR: 0.00000001,0.99,0.0234,0.80,0.9192
48,,0.99,0.0262,0.79,1.0300
49,,0.99,0.0163,0.69,1.8343
