,notes,train_acc,train_loss,val_acc,val_loss
0,,0.55,1.3072,0.42,11.2887
1,,0.42,1.6447,0.42,1.5396
2,,0.40,1.5699,0.42,1.5597
3,,0.40,1.5725,0.42,1.5625
4,,0.41,1.5684,0.24,1.5907
5,,0.41,1.5623,0.42,1.5479
6,,0.41,1.5627,0.42,1.5394
7,created new SGD optimizer with LR: 0.00100000000000000002,0.43,1.5697,0.42,1.5385
8,,0.42,1.5598,0.24,1.5837
9,,0.32,1.5783,0.42,1.5491
10,,0.41,1.5582,0.42,1.5393
11,,0.41,1.5552,0.42,1.5368
12,,0.41,1.5521,0.42,1.5349
13,,0.41,1.5509,0.42,1.5348
14,,0.41,1.5524,0.42,1.5348
15,created new SGD optimizer with LR: 0.0001,0.42,1.5509,0.42,1.5342
16,,0.41,1.5515,0.42,1.5342
17,,0.41,1.5486,0.42,1.5342
18,,0.41,1.5495,0.42,1.5342
19,,0.41,1.5497,0.42,1.5342
20,,0.42,1.5492,0.42,1.5342
21,,0.41,1.5493,0.42,1.5342
22,,0.41,1.5490,0.42,1.5342
23,created new SGD optimizer with LR: 0.00001,0.42,1.5491,0.42,1.5342
24,,0.41,1.5489,0.42,1.5342
25,,0.41,1.5493,0.42,1.5342
26,,0.42,1.5479,0.42,1.5342
27,,0.42,1.5491,0.42,1.5342
28,,0.42,1.5488,0.42,1.5342
29,,0.42,1.5486,0.42,1.5342
30,,0.43,1.5488,0.42,1.5342
31,created new SGD optimizer with LR: 0.000001,0.41,1.5491,0.42,1.5342
32,,0.42,1.5489,0.42,1.5342
33,,0.42,1.5485,0.42,1.5342
34,,0.41,1.5493,0.42,1.5342
35,,0.41,1.5485,0.42,1.5342
36,,0.42,1.5489,0.42,1.5342
37,,0.42,1.5485,0.42,1.5342
38,,0.42,1.5494,0.42,1.5342
39,created new SGD optimizer with LR: 0.0000001,0.43,1.5495,0.42,1.5342
40,,0.42,1.5494,0.42,1.5342
41,,0.43,1.5488,0.42,1.5342
42,,0.41,1.5487,0.42,1.5342
43,,0.41,1.5491,0.42,1.5342
44,,0.41,1.5486,0.42,1.5342
45,,0.41,1.5495,0.42,1.5342
46,,0.42,1.5496,0.42,1.5342
47,created new SGD optimizer with LR: 0.00000001,0.41,1.5483,0.42,1.5342
48,,0.41,1.5492,0.42,1.5342
49,,0.42,1.5488,0.42,1.5342
