,notes,train_acc,train_loss,val_acc,val_loss
0,,0.41,1.5698,0.46,1.4553
1,,0.54,1.3992,0.45,1.4668
2,,0.56,1.2568,0.54,1.3491
3,,0.58,1.1773,0.54,1.4413
4,,0.61,1.0591,0.53,1.3677
5,,0.66,0.9155,0.44,1.9469
6,,0.67,0.9105,0.65,1.2884
7,created new SGD optimizer with LR: 0.00100000000000000002,0.73,0.7424,0.31,3.1011
8,,0.76,0.6703,0.34,4.3194
9,,0.73,0.8330,0.57,1.5186
10,,0.80,0.5574,0.62,1.5110
11,,0.85,0.4528,0.62,1.5870
12,,0.85,0.4331,0.61,1.9728
13,,0.89,0.3849,0.57,1.1869
14,,0.91,0.3406,0.62,1.0208
15,created new SGD optimizer with LR: 0.0001,0.89,0.3306,0.68,1.1595
16,,0.89,0.3089,0.62,1.9236
17,,0.90,0.2817,0.60,1.5821
18,,0.93,0.2468,0.61,0.9744
19,,0.90,0.3487,0.61,1.1276
20,,0.90,0.3100,0.62,0.8998
21,,0.92,0.2875,0.62,1.1443
22,,0.94,0.2385,0.50,1.5610
23,created new SGD optimizer with LR: 0.00001,0.91,0.2746,0.57,1.5560
24,,0.92,0.2953,0.64,1.1340
25,,0.90,0.3580,0.59,1.7097
26,,0.93,0.2430,0.57,1.0500
27,,0.90,0.2634,0.60,1.7863
28,,0.92,0.2842,0.59,1.1870
29,,0.92,0.2540,0.56,1.7627
30,,0.92,0.2600,0.62,1.4600
31,created new SGD optimizer with LR: 0.000001,0.90,0.3204,0.55,1.5831
32,,0.91,0.3141,0.55,1.5779
33,,0.90,0.2926,0.70,1.1678
34,,0.92,0.2986,0.64,1.5096
35,,0.91,0.3024,0.56,2.2349
36,,0.91,0.2946,0.56,3.3767
37,,0.91,0.2909,0.61,1.4351
38,,0.90,0.3264,0.65,2.4647
39,created new SGD optimizer with LR: 0.0000001,0.90,0.3006,0.65,1.5989
40,,0.93,0.2557,0.66,1.2206
41,,0.91,0.2937,0.68,0.8817
42,,0.94,0.2552,0.61,1.2145
43,,0.90,0.2976,0.59,1.6769
44,,0.91,0.2849,0.65,1.2101
45,,0.93,0.2464,0.65,1.2556
46,,0.93,0.2545,0.59,3.1399
47,created new SGD optimizer with LR: 0.00000001,0.89,0.3155,0.57,3.0058
48,,0.90,0.3066,0.59,1.4943
49,,0.91,0.2932,0.60,1.1318
