,notes,train_acc,train_loss,val_acc,val_loss
0,,0.48,1.4564,0.50,4.8391
1,,0.61,1.1497,0.44,2.0392
2,,0.64,1.0312,0.39,2.1610
3,,0.76,0.7622,0.39,1.9560
4,,0.75,0.7538,0.49,1.8778
5,,0.76,0.7245,0.51,3.5072
6,,0.84,0.5210,0.61,2.2242
7,created new SGD optimizer with LR: 0.00100000000000000002,0.84,0.5181,0.50,2.2462
8,,0.90,0.3052,0.61,1.4450
9,,0.90,0.2573,0.72,1.1117
10,,0.94,0.1672,0.71,1.2451
11,,0.94,0.1822,0.65,1.1460
12,,0.95,0.1371,0.64,2.5907
13,,0.97,0.1253,0.70,1.1565
14,,0.96,0.1169,0.72,1.7093
15,created new SGD optimizer with LR: 0.0001,0.96,0.1115,0.71,1.6548
16,,0.98,0.0950,0.68,1.1829
17,,0.97,0.1162,0.75,0.8055
18,,0.97,0.1196,0.71,1.0408
19,,0.99,0.0519,0.70,0.8497
20,,0.97,0.0889,0.72,1.2618
21,,0.98,0.0792,0.64,1.2164
22,,0.99,0.0572,0.74,1.0051
23,created new SGD optimizer with LR: 0.00001,0.97,0.1008,0.76,1.0250
24,,0.97,0.0849,0.78,0.7361
25,,0.97,0.1047,0.74,0.9074
26,,0.98,0.0785,0.74,1.2104
27,,0.98,0.0696,0.66,1.0745
28,,0.97,0.1133,0.79,0.7419
29,,0.98,0.0705,0.74,1.0533
30,,0.98,0.0689,0.68,1.2695
31,created new SGD optimizer with LR: 0.000001,0.98,0.0769,0.78,0.8319
32,,0.99,0.0661,0.66,1.0417
33,,0.96,0.1249,0.70,1.1829
34,,0.97,0.0910,0.50,5.0477
35,,0.97,0.0915,0.78,0.8534
36,,0.97,0.0869,0.75,1.8528
37,,0.96,0.0943,0.79,0.8957
38,,0.99,0.0682,0.72,1.5622
39,created new SGD optimizer with LR: 0.0000001,0.97,0.0991,0.68,1.2290
40,,0.98,0.0711,0.71,0.8280
41,,0.99,0.0633,0.70,1.4324
42,,0.98,0.0619,0.78,1.8410
43,,0.98,0.0915,0.65,1.4038
44,,0.98,0.0733,0.72,1.6694
45,,0.98,0.0552,0.71,1.5228
46,,0.98,0.0778,0.68,1.5186
47,created new SGD optimizer with LR: 0.00000001,0.96,0.1211,0.64,1.3459
48,,0.96,0.1060,0.56,3.1733
49,,0.98,0.0755,0.62,1.5051
