,notes,train_acc,train_loss,val_acc,val_loss
0,,0.45,1.5428,0.49,1.4849
1,,0.51,1.2816,0.47,1.4998
2,,0.58,1.1347,0.54,1.6431
3,,0.62,1.0268,0.53,1.6998
4,,0.66,0.9005,0.51,2.1295
5,,0.64,0.9194,0.19,3.3830
6,,0.72,0.7847,0.54,1.9924
7,created new SGD optimizer with LR: 0.00100000000000000002,0.73,0.7455,0.65,1.6253
8,,0.76,0.5855,0.45,3.0744
9,,0.79,0.5397,0.69,0.9704
10,,0.82,0.4792,0.64,1.3259
11,,0.88,0.3588,0.72,0.7109
12,,0.89,0.3218,0.72,0.7941
13,,0.91,0.2842,0.71,0.9104
14,,0.89,0.2856,0.72,1.0067
15,created new SGD optimizer with LR: 0.0001,0.91,0.2684,0.76,0.9073
16,,0.90,0.2684,0.66,1.1641
17,,0.94,0.2277,0.78,0.7707
18,,0.92,0.2413,0.78,1.0882
19,,0.90,0.2851,0.68,1.3982
20,,0.92,0.2429,0.70,0.9878
21,,0.95,0.1950,0.69,0.9211
22,,0.92,0.2373,0.74,0.8772
23,created new SGD optimizer with LR: 0.00001,0.93,0.2124,0.74,0.8804
24,,0.94,0.2022,0.71,1.1054
25,,0.95,0.1881,0.70,1.2760
26,,0.94,0.2060,0.72,0.9974
27,,0.94,0.1877,0.70,1.0083
28,,0.94,0.1773,0.69,1.0892
29,,0.95,0.1795,0.70,1.2028
30,,0.94,0.1799,0.71,1.0010
31,created new SGD optimizer with LR: 0.000001,0.94,0.2019,0.75,0.7456
32,,0.93,0.2002,0.70,0.9653
33,,0.97,0.1480,0.70,1.0708
34,,0.92,0.2297,0.65,2.3966
35,,0.96,0.1638,0.74,0.9313
36,,0.93,0.2175,0.68,1.2651
37,,0.93,0.2201,0.71,0.9125
38,,0.95,0.1838,0.70,1.6062
39,created new SGD optimizer with LR: 0.0000001,0.96,0.1676,0.74,0.8130
40,,0.94,0.1988,0.70,1.1444
41,,0.91,0.2620,0.75,0.8623
42,,0.92,0.2332,0.69,1.4583
43,,0.94,0.1971,0.74,0.8133
44,,0.95,0.1719,0.71,0.8840
45,,0.93,0.1941,0.68,1.4821
46,,0.93,0.2177,0.78,0.6993
47,created new SGD optimizer with LR: 0.00000001,0.94,0.1992,0.72,0.9361
48,,0.91,0.2497,0.70,0.9983
49,,0.92,0.2195,0.66,1.6797
