,notes,train_acc,train_loss,val_acc,val_loss
0,,1.00,0.0063,0.75,0.8961
1,,1.00,0.0097,0.82,0.7293
2,,1.00,0.0106,0.74,1.1598
3,,1.00,0.0105,0.78,1.0406
4,,1.00,0.0106,0.81,1.2827
5,,1.00,0.0056,0.81,0.8930
6,,1.00,0.0086,0.81,1.4993
7,created new SGD optimizer with LR: 0.00100000000000000002,1.00,0.0034,0.80,1.0362
8,,1.00,0.0032,0.79,1.0197
9,,0.99,0.0195,0.75,1.8090
10,,1.00,0.0041,0.69,1.3646
11,,1.00,0.0028,0.81,0.8704
12,,0.99,0.0384,0.84,0.8153
13,,1.00,0.0033,0.79,0.8350
14,,1.00,0.0177,0.80,1.0656
15,created new SGD optimizer with LR: 0.0001,1.00,0.0051,0.81,0.7875
16,,1.00,0.0021,0.86,0.4600
17,,1.00,0.0020,0.84,0.7636
18,,0.99,0.0246,0.75,0.9750
19,,1.00,0.0051,0.84,1.2894
20,,1.00,0.0069,0.88,0.5240
21,,0.99,0.0072,0.70,2.9153
22,,1.00,0.0042,0.79,1.1299
23,created new SGD optimizer with LR: 0.00001,1.00,0.0049,0.72,1.9526
24,,0.99,0.0217,0.76,1.4646
25,,1.00,0.0065,0.70,2.1420
26,,1.00,0.0056,0.84,0.6886
27,,1.00,0.0058,0.76,2.3853
28,,0.99,0.0228,0.78,1.6157
29,,0.99,0.0223,0.79,0.8378
30,,0.99,0.0272,0.88,0.6756
31,created new SGD optimizer with LR: 0.000001,1.00,0.0048,0.79,0.8471
32,,1.00,0.0040,0.84,0.9820
33,,1.00,0.0075,0.80,0.9652
34,,0.99,0.0312,0.74,1.8177
35,,1.00,0.0111,0.88,0.6463
36,,1.00,0.0095,0.84,0.7312
37,,0.99,0.0144,0.79,1.4833
38,,1.00,0.0061,0.81,0.8080
39,created new SGD optimizer with LR: 0.0000001,1.00,0.0013,0.84,0.6086
40,,0.98,0.0261,0.70,2.6050
41,,0.99,0.0145,0.82,1.2535
42,,1.00,0.0039,0.78,0.7869
43,,1.00,0.0058,0.76,1.9098
44,,1.00,0.0023,0.84,0.7755
45,,1.00,0.0043,0.85,0.5839
46,,0.99,0.0518,0.79,1.7978
47,created new SGD optimizer with LR: 0.00000001,1.00,0.0028,0.84,0.8537
48,,1.00,0.0027,0.85,0.8229
49,,1.00,0.0054,0.85,0.6080
