,notes,train_acc,train_loss,val_acc,val_loss
0,,0.51,1.4424,0.24,2.0040
1,,0.50,1.2712,0.39,1.4867
2,,0.58,1.1417,0.50,1.5360
3,,0.65,0.9720,0.60,1.1934
4,,0.68,0.8987,0.56,1.3160
5,,0.66,0.8807,0.49,1.7086
6,,0.70,0.7956,0.56,1.3158
7,created new SGD optimizer with LR: 0.00100000000000000002,0.74,0.7084,0.53,1.8903
8,,0.78,0.6452,0.59,1.5277
9,,0.82,0.4992,0.70,0.8156
10,,0.89,0.3183,0.74,0.7935
11,,0.91,0.2637,0.74,0.8285
12,,0.89,0.3007,0.78,0.7652
13,,0.92,0.2315,0.74,1.0531
14,,0.94,0.1827,0.75,0.8748
15,created new SGD optimizer with LR: 0.0001,0.94,0.2046,0.69,1.3306
16,,0.95,0.1584,0.72,0.8250
17,,0.95,0.1544,0.69,1.5437
18,,0.95,0.1658,0.76,1.0057
19,,0.95,0.1492,0.71,1.1172
20,,0.95,0.1546,0.69,1.1060
21,,0.96,0.1386,0.69,1.1643
22,,0.95,0.1614,0.72,1.0518
23,created new SGD optimizer with LR: 0.00001,0.98,0.1146,0.79,0.6770
24,,0.95,0.1367,0.71,0.9762
25,,0.96,0.1337,0.80,0.7297
26,,0.95,0.1544,0.80,0.7122
27,,0.97,0.1117,0.72,0.8887
28,,0.97,0.1171,0.75,0.9682
29,,0.98,0.0940,0.74,1.1174
30,,0.98,0.1086,0.78,0.8093
31,created new SGD optimizer with LR: 0.000001,0.97,0.0999,0.76,0.8785
32,,0.97,0.1199,0.71,1.1628
33,,0.97,0.1155,0.72,1.0546
34,,0.96,0.1307,0.78,0.9058
35,,0.96,0.1266,0.61,1.6934
36,,0.98,0.0930,0.75,1.0178
37,,0.97,0.1088,0.78,0.8895
38,,0.94,0.1678,0.64,2.4335
39,created new SGD optimizer with LR: 0.0000001,0.98,0.1067,0.81,0.6781
40,,0.97,0.1142,0.64,1.9060
41,,0.96,0.1308,0.62,1.8521
42,,0.97,0.1083,0.74,0.7880
43,,0.95,0.1450,0.66,1.3256
44,,0.97,0.1129,0.68,1.7088
45,,0.96,0.1251,0.74,0.8549
46,,0.96,0.1252,0.75,1.0825
47,created new SGD optimizer with LR: 0.00000001,0.97,0.1182,0.81,0.6329
48,,0.92,0.1944,0.69,1.0311
49,,0.97,0.1167,0.78,1.1379
