,notes,train_acc,train_loss,val_acc,val_loss
0,,0.41,1.5968,0.16,2.1006
1,,0.44,1.5438,0.29,1.6827
2,,0.46,1.4842,0.45,1.5230
3,,0.43,1.5850,0.42,1.8588
4,,0.41,1.7800,0.42,1.7012
5,,0.41,1.6735,0.42,1.6234
6,,0.41,1.6191,0.42,1.5817
7,,0.41,1.5907,0.43,1.5596
8,,0.41,1.5749,0.43,1.5464
9,,0.41,1.5663,0.43,1.5383
10,,0.41,1.5603,0.43,1.5325
11,,0.41,1.5572,0.43,1.5295
12,,0.41,1.5548,0.43,1.5274
13,,0.41,1.5546,0.43,1.5264
14,,0.41,1.5532,0.42,1.5254
15,,0.42,1.5520,0.43,1.5243
16,,0.43,1.5523,0.43,1.5238
17,,0.41,1.5513,0.43,1.5231
18,,0.42,1.5518,0.43,1.5226
19,,0.42,1.5512,0.43,1.5225
20,,0.43,1.5509,0.42,1.5223
21,,0.41,1.5518,0.42,1.5220
22,,0.41,1.5512,0.43,1.5220
23,,0.42,1.5510,0.43,1.5220
24,,0.42,1.5503,0.43,1.5219
25,,0.41,1.5509,0.43,1.5217
26,,0.41,1.5508,0.43,1.5217
27,,0.42,1.5361,0.43,1.5217
28,,0.41,1.5507,0.43,1.5219
29,created new Adam optimizer with LR: 0.00100000000000000002,0.41,1.5510,0.43,1.5220
30,,0.41,1.5508,0.43,1.5219
31,,0.41,1.5488,0.43,1.5219
32,,0.41,1.5488,0.43,1.5219
33,,0.42,1.5488,0.43,1.5219
34,,0.43,1.5488,0.44,1.5219
35,,0.42,1.5488,0.43,1.5219
36,,0.43,1.5488,0.43,1.5218
37,,0.41,1.5487,0.43,1.5218
38,,0.41,1.5488,0.43,1.5218
39,,0.41,1.5488,0.43,1.5218
40,,0.41,1.5488,0.43,1.5218
41,,0.41,1.5488,0.43,1.5218
42,,0.42,1.5488,0.43,1.5218
43,,0.41,1.5488,0.42,1.5218
44,,0.41,1.5488,0.43,1.5218
45,,0.41,1.5488,0.43,1.5218
46,,0.42,1.5488,0.43,1.5218
47,,0.42,1.5487,0.43,1.5217
48,,0.41,1.5488,0.43,1.5217
49,,0.42,1.5388,0.42,1.5107
