,notes,train_acc,train_loss,val_acc,val_loss
0,,0.42,1.5795,0.07,2.9563
1,,0.41,1.5901,0.46,1.5247
2,,0.39,1.5752,0.40,1.7465
3,,0.43,1.5469,0.29,1.6574
4,,0.46,1.4869,0.46,1.4550
5,,0.50,1.4588,0.47,1.4114
6,,0.45,1.4459,0.47,1.4690
7,,0.49,1.4088,0.32,1.6153
8,,0.50,1.3933,0.47,1.4271
9,,0.52,1.3913,0.44,1.5051
10,,0.50,1.3605,0.46,1.5683
11,,0.48,1.3905,0.45,1.4573
12,,0.51,1.3503,0.49,1.3766
13,,0.50,1.3493,0.48,1.4362
14,,0.50,1.3035,0.49,1.3761
15,,0.49,1.3122,0.48,1.3793
16,,0.48,1.3343,0.47,1.3346
17,,0.53,1.2804,0.52,1.3279
18,,0.52,1.2644,0.31,1.6494
19,,0.47,1.3321,0.38,1.4252
20,,0.50,1.3094,0.52,1.2874
21,,0.51,1.2894,0.51,1.3251
22,,0.52,1.2725,0.46,1.3565
23,,0.50,1.2943,0.49,1.3329
24,,0.51,1.2975,0.49,1.3498
25,,0.54,1.2173,0.37,1.4015
26,,0.53,1.2265,0.44,1.3444
27,,0.51,1.2492,0.50,1.2675
28,,0.52,1.2265,0.45,1.4875
29,created new SGD optimizer with LR: 0.00100000000000000002,0.55,1.2525,0.52,1.3446
30,,0.54,1.1972,0.51,1.3013
31,,0.55,1.1895,0.52,1.2861
32,,0.56,1.1511,0.51,1.2074
33,,0.54,1.1635,0.52,1.2709
34,,0.55,1.1340,0.51,1.2180
35,,0.55,1.1516,0.50,1.2155
36,,0.55,1.1609,0.51,1.1995
37,,0.57,1.1340,0.51,1.2403
38,,0.54,1.1507,0.52,1.1980
39,,0.54,1.1630,0.53,1.2244
40,,0.54,1.1644,0.51,1.2136
41,,0.54,1.1630,0.52,1.1995
42,,0.54,1.1420,0.53,1.1916
43,,0.56,1.1339,0.52,1.1912
44,,0.54,1.1449,0.51,1.2113
45,,0.55,1.1391,0.51,1.1941
46,,0.54,1.1487,0.53,1.2424
47,,0.56,1.1208,0.53,1.1939
48,,0.53,1.1459,0.51,1.2249
49,,0.57,1.1409,0.51,1.2047
