,notes,train_acc,train_loss,val_acc,val_loss
0,,0.42,1.5429,0.48,1.4475
1,,0.53,1.3456,0.49,1.5967
2,,0.53,1.2284,0.53,1.3460
3,,0.56,1.1385,0.55,1.6578
4,,0.61,0.9750,0.48,2.0000
5,,0.64,0.9897,0.45,1.4707
6,,0.64,0.9589,0.56,1.2289
7,,0.76,0.6742,0.48,1.8864
8,,0.75,0.6504,0.38,2.4486
9,,0.81,0.5737,0.58,1.6710
10,,0.87,0.4254,0.58,2.3496
11,,0.88,0.4079,0.41,2.7108
12,,0.90,0.3368,0.49,1.9995
13,,0.88,0.3728,0.47,2.6478
14,,0.89,0.3655,0.64,1.4118
15,,0.94,0.2320,0.56,2.1783
16,,0.96,0.1666,0.48,2.9145
17,,0.95,0.1660,0.47,2.2960
18,,0.92,0.2762,0.64,1.2993
19,,0.96,0.1599,0.68,1.2548
20,,0.97,0.1236,0.68,1.2928
21,,0.97,0.1171,0.66,1.7890
22,,0.97,0.1091,0.66,1.4544
23,,0.97,0.1047,0.54,2.0010
24,,0.97,0.0985,0.69,1.3464
25,,0.98,0.0865,0.55,1.8112
26,,0.98,0.0844,0.65,1.6345
27,,0.97,0.1112,0.67,2.0272
28,,0.97,0.0785,0.67,1.2302
29,created new SGD optimizer with LR: 0.00100000000000000002,0.98,0.0728,0.39,3.1987
30,,0.98,0.0591,0.64,1.7642
31,,0.95,0.1133,0.69,1.4212
32,,0.97,0.0627,0.66,1.7071
33,,0.98,0.0537,0.68,1.6447
34,,0.98,0.0495,0.65,1.7787
35,,0.98,0.0519,0.65,1.3192
36,,0.97,0.0540,0.68,1.7879
37,,0.98,0.0477,0.64,1.5650
38,,0.98,0.0438,0.69,1.3091
39,,0.97,0.0464,0.72,1.6595
40,,0.97,0.0523,0.63,1.7383
41,,0.96,0.0864,0.59,2.9310
42,,0.97,0.0662,0.63,1.3615
43,,0.98,0.0466,0.68,1.3112
44,,0.98,0.0419,0.67,1.5467
45,,0.98,0.0433,0.69,1.6205
46,,0.98,0.0445,0.66,2.1157
47,,0.98,0.0364,0.60,1.8785
48,,0.98,0.0417,0.72,1.2297
49,,0.97,0.0586,0.60,2.1459
