,notes,train_acc,train_loss,val_acc,val_loss
0,,0.43,1.5704,0.43,1.6512
1,,0.47,1.5402,0.43,2.1461
2,,0.41,1.5888,0.42,1.7013
3,,0.46,1.4975,0.24,2.1380
4,,0.47,1.5310,0.46,1.4896
5,,0.46,1.4821,0.43,1.6324
6,,0.49,1.4278,0.16,2.3759
7,,0.50,1.4306,0.25,1.7796
8,,0.51,1.4171,0.42,2.0273
9,,0.51,1.3926,0.47,1.4848
10,,0.52,1.3445,0.42,1.7614
11,,0.54,1.3128,0.45,1.5058
12,,0.54,1.3044,0.51,1.4128
13,,0.53,1.3326,0.49,1.4662
14,,0.53,1.3064,0.43,2.1302
15,,0.53,1.3429,0.48,1.4528
16,,0.53,1.3003,0.35,1.6316
17,,0.53,1.2872,0.24,2.1693
18,,0.52,1.3426,0.51,1.5475
19,,0.51,1.3551,0.51,1.5415
20,,0.55,1.2694,0.52,1.4232
21,,0.54,1.2541,0.48,1.4114
22,,0.53,1.2601,0.48,1.4695
23,,0.54,1.2527,0.09,1.9982
24,,0.54,1.2802,0.28,1.6710
25,,0.55,1.2456,0.47,1.5741
26,,0.54,1.2253,0.45,1.4917
27,,0.56,1.2403,0.19,1.7112
28,,0.52,1.2297,0.42,1.5153
29,created new SGD optimizer with LR: 0.00100000000000000002,0.53,1.2162,0.48,1.5321
30,,0.52,1.2778,0.52,1.3666
31,,0.57,1.1658,0.52,1.3748
32,,0.57,1.1361,0.52,1.3541
33,,0.56,1.1374,0.48,1.3397
34,,0.56,1.1534,0.49,1.4426
35,,0.58,1.1049,0.48,1.4143
36,,0.56,1.1441,0.54,1.3658
37,,0.58,1.0941,0.52,1.3219
38,,0.58,1.1253,0.49,1.3385
39,,0.55,1.1494,0.53,1.3521
40,,0.54,1.1419,0.45,1.4754
41,,0.56,1.1206,0.51,1.3845
42,,0.60,1.0816,0.43,1.4696
43,,0.56,1.1428,0.39,1.5207
44,,0.56,1.1634,0.54,1.2931
45,,0.56,1.1484,0.52,1.3492
46,,0.58,1.1024,0.45,1.4704
47,,0.57,1.1285,0.51,1.3426
48,,0.55,1.1487,0.50,1.3639
49,,0.57,1.1094,0.48,1.3920
