,notes,train_acc,train_loss,val_acc,val_loss
0,,0.46,1.5426,0.47,1.4197
1,,0.54,1.2871,0.53,1.3421
2,,0.58,1.1838,0.45,1.6331
3,,0.58,1.1363,0.52,1.5427
4,,0.67,0.9698,0.35,2.1281
5,,0.68,0.9033,0.45,4.0680
6,,0.70,0.7972,0.27,4.6538
7,,0.76,0.6759,0.28,4.7651
8,,0.82,0.5354,0.44,2.3455
9,,0.87,0.4067,0.57,2.2134
10,,0.89,0.3085,0.55,3.2490
11,,0.90,0.2791,0.42,2.6833
12,,0.91,0.3108,0.41,1.6937
13,,0.95,0.1743,0.35,2.8461
14,,0.93,0.2303,0.31,5.0274
15,,0.97,0.0973,0.32,3.1717
16,,0.97,0.0998,0.32,7.2438
17,,0.97,0.1246,0.35,2.6623
18,,0.98,0.0755,0.22,3.1828
19,,0.99,0.0458,0.35,3.4830
20,,0.98,0.0707,0.35,3.2564
21,,0.96,0.1348,0.37,3.7609
22,,0.96,0.1718,0.58,1.5297
23,,0.99,0.0622,0.32,3.8568
24,,0.99,0.0590,0.48,1.9140
25,,1.00,0.0156,0.25,9.9733
26,,0.99,0.0649,0.53,1.7575
27,,0.98,0.0853,0.42,2.6176
28,,1.00,0.0295,0.44,2.6196
29,created new SGD optimizer with LR: 0.00100000000000000002,1.00,0.0207,0.58,1.7337
30,,1.00,0.0217,0.46,3.2044
31,,1.00,0.0148,0.31,4.5085
32,,0.99,0.0282,0.50,2.5301
33,,0.99,0.0241,0.35,4.9727
34,,1.00,0.0095,0.54,2.0300
35,,0.98,0.0246,0.38,4.5079
36,,0.99,0.0222,0.55,2.4662
37,,0.99,0.0209,0.51,2.5290
38,,0.99,0.0226,0.58,1.7455
39,,0.99,0.0258,0.39,3.4966
40,,0.99,0.0221,0.53,3.0295
41,,1.00,0.0160,0.55,1.8207
42,,1.00,0.0093,0.60,1.8456
43,,1.00,0.0037,0.55,1.5868
44,,0.99,0.0210,0.47,3.7474
45,,1.00,0.0122,0.60,1.7971
46,,1.00,0.0086,0.40,3.0463
47,,0.99,0.0227,0.61,1.8343
48,,1.00,0.0163,0.55,1.5354
49,,0.99,0.0136,0.61,2.2477
