,notes,train_acc,train_loss,val_acc,val_loss
0,,0.43,1.6121,0.43,2.1314
1,,0.47,1.5203,0.11,1.9947
2,,0.51,1.4215,0.43,2.1798
3,,0.51,1.3990,0.42,1.9050
4,,0.53,1.2994,0.43,1.5534
5,,0.53,1.2813,0.43,2.6216
6,,0.55,1.2775,0.43,1.8311
7,,0.57,1.2207,0.43,2.1884
8,,0.57,1.1595,0.43,2.0530
9,,0.59,1.1583,0.39,1.8511
10,,0.60,1.0834,0.35,1.9114
11,,0.60,1.0869,0.50,1.3882
12,,0.61,1.0555,0.40,1.6763
13,,0.57,1.1409,0.42,1.9214
14,,0.60,1.0562,0.22,2.3745
15,,0.61,1.0546,0.51,1.8234
16,,0.63,1.0376,0.32,1.9218
17,,0.65,0.9325,0.44,1.7140
18,,0.64,0.9835,0.29,2.0178
19,,0.68,0.8621,0.46,2.2093
20,,0.66,0.9531,0.45,1.7221
21,,0.62,1.0037,0.20,2.5225
22,,0.62,1.0112,0.36,1.6191
23,,0.67,0.9368,0.47,1.9368
24,,0.65,0.9901,0.52,1.3672
25,,0.64,0.9518,0.49,1.7650
26,,0.65,0.9500,0.52,1.4198
27,,0.66,0.8826,0.50,1.6834
28,,0.67,0.9106,0.22,2.5800
29,created new SGD optimizer with LR: 0.00100000000000000002,0.66,0.9053,0.59,1.5399
30,,0.70,0.7868,0.55,1.3216
31,,0.72,0.7452,0.55,1.2976
32,,0.73,0.7031,0.49,1.4422
33,,0.76,0.6550,0.56,1.5966
34,,0.78,0.6597,0.49,1.4464
35,,0.78,0.6250,0.54,1.5295
36,,0.77,0.6069,0.50,1.4478
37,,0.78,0.6197,0.56,1.3320
38,,0.81,0.5620,0.52,1.4442
39,,0.76,0.6216,0.50,1.4605
40,,0.80,0.5718,0.54,1.5946
41,,0.79,0.5995,0.52,1.3019
42,,0.80,0.5911,0.49,1.6391
43,,0.81,0.5438,0.51,1.3727
44,,0.81,0.5872,0.54,1.4187
45,,0.84,0.5194,0.51,1.5881
46,,0.82,0.5335,0.57,1.2950
47,,0.84,0.5237,0.54,1.3374
48,,0.83,0.5211,0.59,1.1745
49,,0.82,0.5246,0.54,1.5421
