,notes,train_acc,train_loss,val_acc,val_loss
0,,0.56,1.2872,0.36,2.9390
1,,0.62,1.1286,0.07,2.8937
2,,0.64,1.0676,0.40,3.3952
3,,0.71,0.8712,0.51,1.6736
4,,0.77,0.7215,0.27,2.8921
5,,0.76,0.7205,0.44,2.9984
6,,0.84,0.5047,0.38,2.5799
7,,0.87,0.4090,0.56,2.0635
8,,0.85,0.4710,0.45,2.2409
9,,0.87,0.4009,0.38,1.7545
10,,0.93,0.1930,0.53,2.1590
11,,0.95,0.1267,0.42,1.8720
12,,0.98,0.0880,0.48,1.7613
13,,0.99,0.0619,0.49,2.3603
14,,0.99,0.0496,0.46,1.9922
15,,0.99,0.0305,0.57,1.7563
16,,0.99,0.0370,0.58,1.4304
17,,1.00,0.0165,0.54,2.2053
18,,0.99,0.0311,0.49,2.6719
19,,0.98,0.0517,0.53,2.8132
20,,0.98,0.0881,0.52,1.6712
21,,0.99,0.0447,0.63,1.8285
22,,0.98,0.0570,0.56,1.6490
23,,1.00,0.0078,0.46,1.7548
24,,0.99,0.0365,0.51,1.5343
25,,0.99,0.0369,0.39,2.3617
26,,0.99,0.0229,0.35,2.6181
27,,1.00,0.0121,0.63,2.3096
28,,1.00,0.0237,0.51,2.6052
29,created new SGD optimizer with LR: 0.00100000000000000002,1.00,0.0157,0.60,1.5421
30,,1.00,0.0112,0.61,1.3511
31,,0.99,0.0239,0.64,2.9717
32,,0.99,0.0178,0.34,3.0662
33,,0.99,0.0247,0.42,2.6441
34,,1.00,0.0094,0.67,2.6247
35,,1.00,0.0121,0.36,3.4148
36,,1.00,0.0103,0.45,1.6457
37,,0.99,0.0433,0.52,1.6378
38,,0.98,0.0421,0.55,4.1802
39,,0.98,0.0487,0.55,3.1705
40,,1.00,0.0124,0.50,2.4576
41,,1.00,0.0099,0.37,3.4013
42,,0.99,0.0194,0.54,2.6265
43,,1.00,0.0079,0.52,1.4946
44,,1.00,0.0084,0.52,1.8942
45,,1.00,0.0043,0.58,1.5748
46,,1.00,0.0049,0.55,1.7253
47,,1.00,0.0071,0.54,2.1269
48,,0.99,0.0121,0.55,3.0819
49,,1.00,0.0071,0.57,1.8234
