,notes,train_acc,train_loss,val_acc,val_loss
0,,0.41,1.6438,0.25,1.9280
1,,0.45,1.5428,0.43,1.5947
2,,0.44,1.5538,0.47,1.5423
3,,0.45,1.5405,0.42,1.6177
4,,0.44,1.5453,0.29,2.1451
5,,0.45,1.4860,0.31,1.8285
6,,0.48,1.5018,0.49,1.6607
7,,0.48,1.4526,0.28,2.2313
8,,0.48,1.4629,0.45,1.5286
9,,0.48,1.4504,0.38,1.5996
10,,0.45,1.4925,0.47,1.5082
11,,0.49,1.4064,0.51,1.4199
12,,0.45,1.4990,0.24,3.0361
13,,0.52,1.3910,0.40,1.5566
14,,0.48,1.3922,0.49,1.4025
15,,0.52,1.3421,0.37,1.6245
16,,0.53,1.3472,0.49,1.6193
17,,0.54,1.3061,0.50,1.8822
18,,0.55,1.3507,0.52,1.3553
19,,0.51,1.3412,0.51,1.3674
20,,0.51,1.3673,0.47,1.4324
21,,0.53,1.3346,0.50,1.4133
22,,0.53,1.3090,0.20,1.9797
23,,0.52,1.3523,0.50,1.3140
24,,0.54,1.2668,0.54,1.5180
25,,0.51,1.3218,0.54,1.2934
26,,0.53,1.3116,0.53,1.3678
27,,0.54,1.2157,0.30,1.7791
28,,0.57,1.2223,0.52,1.3462
29,created new SGD optimizer with LR: 0.00100000000000000002,0.55,1.2561,0.53,1.3375
30,,0.53,1.2753,0.52,1.4143
31,,0.53,1.2556,0.51,1.2252
32,,0.56,1.1780,0.54,1.2304
33,,0.59,1.1507,0.55,1.1850
34,,0.56,1.1594,0.52,1.2532
35,,0.58,1.1576,0.52,1.2904
36,,0.56,1.1958,0.52,1.2502
37,,0.55,1.1648,0.57,1.2619
38,,0.57,1.1561,0.54,1.2116
39,,0.57,1.1489,0.55,1.1989
40,,0.56,1.1877,0.55,1.2368
41,,0.58,1.1468,0.52,1.3483
42,,0.57,1.1486,0.55,1.2029
43,,0.56,1.1634,0.52,1.3386
44,,0.58,1.1516,0.54,1.2360
45,,0.58,1.1921,0.53,1.2924
46,,0.57,1.1505,0.53,1.3371
47,,0.58,1.1413,0.55,1.2205
48,,0.57,1.1509,0.57,1.2031
49,,0.57,1.1593,0.54,1.1949
