,notes,train_acc,train_loss,val_acc,val_loss
0,,0.41,1.5904,0.43,1.6275
1,,0.51,1.4303,0.46,1.4425
2,,0.53,1.3060,0.50,1.5021
3,,0.56,1.1605,0.45,1.4297
4,,0.58,1.1497,0.45,1.6920
5,,0.64,0.9938,0.56,1.3215
6,,0.68,0.8752,0.44,3.6766
7,,0.76,0.6783,0.57,3.0598
8,,0.78,0.7151,0.57,1.5888
9,,0.80,0.6161,0.45,2.3150
10,,0.86,0.4249,0.49,2.1170
11,,0.90,0.3070,0.52,2.0756
12,,0.90,0.3016,0.37,4.9650
13,,0.92,0.2445,0.52,1.9628
14,,0.93,0.2685,0.63,1.4749
15,,0.93,0.2132,0.64,2.4005
16,,0.95,0.1711,0.63,1.9767
17,,0.96,0.1305,0.56,2.4806
18,,0.96,0.1397,0.62,1.6256
19,,0.98,0.0838,0.64,1.6353
20,,0.99,0.0534,0.74,1.3424
21,,1.00,0.0229,0.69,1.8022
22,,0.98,0.0440,0.47,3.0230
23,,0.96,0.1241,0.44,3.6573
24,,0.97,0.0989,0.68,1.5858
25,,0.98,0.0908,0.64,1.4765
26,,0.98,0.0600,0.59,1.7757
27,,1.00,0.0186,0.60,1.4873
28,,0.99,0.0367,0.65,2.4334
29,created new SGD optimizer with LR: 0.00100000000000000002,0.98,0.0845,0.48,2.9453
30,,0.99,0.0436,0.65,1.3972
31,,0.99,0.0390,0.50,2.0158
32,,0.97,0.0678,0.58,3.1493
33,,1.00,0.0202,0.58,1.8009
34,,1.00,0.0086,0.63,1.7506
35,,0.99,0.0202,0.67,1.3107
36,,0.99,0.0226,0.60,1.9003
37,,1.00,0.0208,0.71,1.0449
38,,0.99,0.0255,0.60,1.2911
39,,0.99,0.0144,0.69,2.0569
40,,1.00,0.0098,0.67,1.5259
41,,1.00,0.0073,0.67,1.1527
42,,1.00,0.0051,0.67,1.2489
43,,0.99,0.0123,0.60,1.5597
44,,0.99,0.0180,0.51,2.0331
45,,1.00,0.0073,0.74,1.2461
46,,1.00,0.0100,0.64,1.4557
47,,0.98,0.0342,0.67,2.2424
48,,0.99,0.0224,0.64,1.5870
49,,1.00,0.0107,0.69,1.5329
