,notes,train_acc,train_loss,val_acc,val_loss
0,,0.42,1.5878,0.43,1.5269
1,,0.43,1.5080,0.43,1.5072
2,,0.48,1.4705,0.49,1.4180
3,,0.52,1.4099,0.53,1.3743
4,,0.52,1.3944,0.54,1.3226
5,,0.52,1.3520,0.52,1.3933
6,,0.53,1.2855,0.55,1.3204
7,,0.55,1.2285,0.49,1.3174
8,,0.58,1.1664,0.57,1.2319
9,,0.58,1.1194,0.54,1.2426
10,,0.58,1.1296,0.58,1.1479
11,,0.63,1.0461,0.55,1.2430
12,,0.64,1.0052,0.62,1.1433
13,,0.65,0.9569,0.61,1.0443
14,,0.68,0.8984,0.55,1.3972
15,,0.71,0.7689,0.55,1.4718
16,,0.72,0.7851,0.63,1.1457
17,,0.75,0.6802,0.69,0.9058
18,,0.75,0.6908,0.61,1.0408
19,,0.79,0.6110,0.60,1.1724
20,,0.86,0.4608,0.69,0.8529
21,,0.84,0.4645,0.70,0.7493
22,,0.86,0.4338,0.64,0.9216
23,,0.83,0.4383,0.67,0.9952
24,,0.88,0.3757,0.68,0.8815
25,,0.90,0.3103,0.72,0.7718
26,,0.91,0.2893,0.69,0.7932
27,,0.92,0.2641,0.66,1.1872
28,,0.89,0.3202,0.65,1.1315
29,created new SGD optimizer with LR: 0.00100000000000000002,0.90,0.2710,0.52,2.1227
30,,0.93,0.2168,0.74,0.7743
31,,0.93,0.2204,0.71,0.8963
32,,0.95,0.1862,0.73,0.8220
33,,0.93,0.1853,0.74,0.8531
34,,0.95,0.1880,0.66,1.1123
35,,0.95,0.1563,0.72,1.0944
36,,0.95,0.1931,0.68,1.0450
37,,0.95,0.1784,0.74,0.9681
38,,0.93,0.1779,0.65,1.3123
39,,0.94,0.2107,0.74,0.9732
40,,0.95,0.1661,0.70,0.9388
41,,0.97,0.1398,0.70,1.1096
42,,0.95,0.1366,0.72,1.0620
43,,0.93,0.1854,0.67,1.2737
44,,0.97,0.1328,0.72,0.8260
45,,0.95,0.1641,0.73,1.0188
46,,0.96,0.1575,0.75,0.8461
47,,0.93,0.1978,0.68,1.0145
48,,0.97,0.1323,0.71,0.9319
49,,0.97,0.1385,0.67,0.8822
