,notes,train_acc,train_loss,val_acc,val_loss
0,,0.43,1.6014,0.43,1.5550
1,,0.41,1.5587,0.48,1.5156
2,,0.45,1.5278,0.43,1.5442
3,,0.40,1.5355,0.43,1.5147
4,,0.44,1.5230,0.49,1.4942
5,,0.44,1.5043,0.49,1.4374
6,,0.47,1.4752,0.47,1.4619
7,,0.46,1.4962,0.47,1.4364
8,,0.48,1.4710,0.46,1.4756
9,,0.49,1.4649,0.37,1.5136
10,,0.46,1.4635,0.51,1.4156
11,,0.46,1.4727,0.51,1.4214
12,,0.48,1.4533,0.50,1.4151
13,,0.49,1.4177,0.50,1.4472
14,,0.50,1.3983,0.39,1.5758
15,,0.47,1.4216,0.42,1.5085
16,,0.51,1.4126,0.44,1.5055
17,,0.51,1.4077,0.51,1.4146
18,,0.51,1.3975,0.48,1.4593
19,,0.50,1.4269,0.48,1.4460
20,,0.52,1.3931,0.47,1.4884
21,,0.50,1.3688,0.51,1.4039
22,,0.50,1.4091,0.52,1.3649
23,,0.51,1.3868,0.41,1.5238
24,,0.50,1.3586,0.52,1.3710
25,,0.51,1.3858,0.34,1.6195
26,,0.50,1.3725,0.51,1.3904
27,,0.52,1.3703,0.50,1.3787
28,,0.51,1.3816,0.46,1.4226
29,created new SGD optimizer with LR: 0.00100000000000000002,0.49,1.3532,0.32,1.7804
30,,0.50,1.3785,0.50,1.3537
31,,0.51,1.3372,0.52,1.3444
32,,0.52,1.3195,0.51,1.3793
33,,0.52,1.3073,0.51,1.3565
34,,0.52,1.3153,0.51,1.3494
35,,0.51,1.3277,0.49,1.3906
36,,0.51,1.3138,0.51,1.3717
37,,0.52,1.3163,0.47,1.4297
38,,0.52,1.3319,0.47,1.4330
39,,0.52,1.3217,0.52,1.3424
40,,0.51,1.3250,0.53,1.3472
41,,0.52,1.3120,0.47,1.3827
42,,0.52,1.3359,0.51,1.3470
43,,0.52,1.3177,0.52,1.3379
44,,0.48,1.3404,0.46,1.4426
45,,0.51,1.3263,0.53,1.3412
46,,0.50,1.3135,0.52,1.3440
47,,0.54,1.3000,0.53,1.3314
48,,0.51,1.3130,0.51,1.3466
49,,0.52,1.3118,0.52,1.3335
