,notes,train_acc,train_loss,val_acc,val_loss
0,,0.39,1.5795,0.47,1.4412
1,,0.53,1.3729,0.53,1.3700
2,,0.54,1.2614,0.46,1.3951
3,,0.57,1.1615,0.53,1.8015
4,,0.60,1.0839,0.55,1.2093
5,,0.62,0.9746,0.54,2.1488
6,,0.63,1.0482,0.55,1.1339
7,,0.69,0.8386,0.60,1.3350
8,,0.74,0.6948,0.63,1.0845
9,,0.79,0.6245,0.60,1.5379
10,,0.83,0.4781,0.41,2.4523
11,,0.83,0.4889,0.60,2.0093
12,,0.82,0.5201,0.56,1.6342
13,,0.85,0.4202,0.56,1.4616
14,,0.90,0.2838,0.59,2.1574
15,,0.87,0.4200,0.59,2.2529
16,,0.94,0.2004,0.64,2.3011
17,,0.95,0.1553,0.63,2.2020
18,,0.95,0.1741,0.59,2.7001
19,,0.96,0.1241,0.68,1.3712
20,,0.96,0.1144,0.72,1.4129
21,,0.97,0.1201,0.61,2.0178
22,,0.96,0.1605,0.60,1.6852
23,,0.95,0.1602,0.57,1.9656
24,,0.95,0.2229,0.62,1.6321
25,,0.99,0.0587,0.62,2.0538
26,,0.97,0.1090,0.59,2.3609
27,,0.99,0.0490,0.67,1.4937
28,,0.99,0.0442,0.67,1.9804
29,created new SGD optimizer with LR: 0.00100000000000000002,1.00,0.0188,0.71,1.3715
30,,1.00,0.0190,0.75,1.3620
31,,1.00,0.0221,0.71,1.4125
32,,0.99,0.0462,0.72,1.4447
33,,0.97,0.0419,0.71,1.8039
34,,1.00,0.0137,0.76,1.8842
35,,1.00,0.0133,0.71,1.9509
36,,0.99,0.0226,0.80,1.1775
37,,1.00,0.0130,0.59,1.7496
38,,0.99,0.0291,0.66,2.3295
39,,1.00,0.0068,0.72,1.3541
40,,1.00,0.0162,0.67,1.5217
41,,0.98,0.0704,0.70,1.0654
42,,0.99,0.0308,0.61,1.8676
43,,1.00,0.0124,0.70,1.2890
44,,0.99,0.0145,0.72,1.2670
45,,1.00,0.0217,0.73,1.5308
46,,1.00,0.0131,0.74,1.2066
47,,0.98,0.0296,0.66,2.6714
48,,1.00,0.0157,0.65,1.7097
49,,1.00,0.0133,0.67,2.2839
