,notes,train_acc,train_loss,val_acc,val_loss
0,,0.40,1.5953,0.16,2.2228
1,,0.40,1.6033,0.50,1.5456
2,,0.43,1.5498,0.42,1.8056
3,,0.47,1.5062,0.43,1.4809
4,,0.45,1.4986,0.44,1.5052
5,,0.47,1.4442,0.40,1.5090
6,,0.53,1.3991,0.39,1.5266
7,,0.47,1.4764,0.44,1.5504
8,,0.49,1.4094,0.51,1.3755
9,,0.46,1.4803,0.47,1.4212
10,,0.54,1.3765,0.48,1.6527
11,,0.49,1.3950,0.43,1.6005
12,,0.50,1.3248,0.50,1.4122
13,,0.52,1.3812,0.50,1.3439
14,,0.56,1.2669,0.48,1.4779
15,,0.52,1.3713,0.47,1.3999
16,,0.53,1.2882,0.22,1.7213
17,,0.51,1.3476,0.40,1.7027
18,,0.54,1.2615,0.31,2.0821
19,,0.53,1.3064,0.43,1.6023
20,,0.52,1.3167,0.51,1.3038
21,,0.53,1.2823,0.49,1.4261
22,,0.57,1.2136,0.49,1.3072
23,,0.54,1.2645,0.51,1.2799
24,,0.52,1.3274,0.51,1.2946
25,,0.53,1.2152,0.36,1.5011
26,,0.52,1.3309,0.52,1.3198
27,,0.54,1.2637,0.52,1.3227
28,,0.54,1.2267,0.47,1.3594
29,created new SGD optimizer with LR: 0.00100000000000000002,0.50,1.2811,0.52,1.2578
30,,0.55,1.1936,0.52,1.3359
31,,0.56,1.1596,0.41,1.6158
32,,0.56,1.1331,0.53,1.2510
33,,0.60,1.1086,0.56,1.2132
34,,0.57,1.1387,0.54,1.2292
35,,0.59,1.1154,0.49,1.2582
36,,0.54,1.1487,0.52,1.2205
37,,0.55,1.1575,0.54,1.2518
38,,0.56,1.1439,0.52,1.2079
39,,0.54,1.1576,0.51,1.4188
40,,0.56,1.1245,0.52,1.2711
41,,0.56,1.1505,0.53,1.2557
42,,0.56,1.1346,0.48,1.2944
43,,0.55,1.1558,0.53,1.2117
44,,0.55,1.1916,0.54,1.2125
45,,0.56,1.1467,0.54,1.2582
46,,0.54,1.1526,0.51,1.2376
47,,0.57,1.1428,0.55,1.2093
48,,0.58,1.1074,0.52,1.2621
49,,0.56,1.1386,0.56,1.2254
