,notes,train_acc,train_loss,val_acc,val_loss
0,,0.47,1.4572,0.50,1.4832
1,,0.54,1.3154,0.52,1.6791
2,,0.56,1.2028,0.53,1.6992
3,,0.63,1.0594,0.55,1.4057
4,,0.66,0.9993,0.53,1.3333
5,,0.67,0.8817,0.49,2.0852
6,,0.74,0.7302,0.54,1.2742
7,,0.72,0.7541,0.55,1.3647
8,,0.78,0.6120,0.49,2.1160
9,,0.85,0.4126,0.51,2.5010
10,,0.85,0.4376,0.49,2.9452
11,,0.83,0.5193,0.47,1.8942
12,,0.90,0.3262,0.64,1.3170
13,,0.95,0.1789,0.58,1.7230
14,,0.96,0.1283,0.47,2.8695
15,,0.94,0.2210,0.53,2.3720
16,,0.96,0.1246,0.67,1.4678
17,,0.97,0.1300,0.68,1.7634
18,,0.98,0.0695,0.67,1.3536
19,,0.99,0.0479,0.65,2.0605
20,,1.00,0.0191,0.69,1.3384
21,,0.99,0.0597,0.57,2.2686
22,,0.98,0.0737,0.70,1.5005
23,,0.98,0.0872,0.68,1.6065
24,,0.99,0.0604,0.72,1.1749
25,,0.99,0.0370,0.54,2.2872
26,,0.98,0.0759,0.67,1.9364
27,,0.99,0.0469,0.65,2.3296
28,,1.00,0.0219,0.72,1.2371
29,created new SGD optimizer with LR: 0.00100000000000000002,0.98,0.0651,0.63,1.9496
30,,0.98,0.0544,0.69,1.8480
31,,0.99,0.0398,0.68,1.4872
32,,0.99,0.0307,0.74,1.6605
33,,0.98,0.0541,0.57,2.7071
34,,1.00,0.0131,0.68,1.6951
35,,1.00,0.0155,0.71,1.5639
36,,1.00,0.0095,0.65,2.8205
37,,1.00,0.0137,0.70,1.2148
38,,0.99,0.0219,0.72,1.2707
39,,1.00,0.0080,0.67,2.8789
40,,1.00,0.0067,0.72,1.1116
41,,1.00,0.0209,0.60,2.3409
42,,1.00,0.0084,0.67,1.6592
43,,1.00,0.0096,0.73,1.3315
44,,1.00,0.0142,0.73,1.1405
45,,1.00,0.0166,0.74,1.1012
46,,0.99,0.0252,0.71,1.5465
47,,0.99,0.0178,0.58,2.1347
48,,1.00,0.0056,0.67,1.8420
49,,1.00,0.0119,0.68,1.6017
