,notes,train_acc,train_loss,val_acc,val_loss
0,,0.36,1.6539,0.37,1.6645
1,,0.43,1.5369,0.26,1.8997
2,,0.43,1.4907,0.42,1.7105
3,,0.47,1.4420,0.43,1.8593
4,,0.49,1.4756,0.43,1.5598
5,,0.49,1.4425,0.25,1.9319
6,,0.50,1.4320,0.42,2.1260
7,,0.50,1.3773,0.36,1.6595
8,,0.49,1.4185,0.43,1.8091
9,,0.47,1.4053,0.41,1.6635
10,,0.51,1.3491,0.43,1.7443
11,,0.53,1.3707,0.27,1.9455
12,,0.53,1.3211,0.42,1.8462
13,,0.53,1.3091,0.17,2.6072
14,,0.51,1.3566,0.38,1.6480
15,,0.50,1.3435,0.13,2.1070
16,,0.54,1.2507,0.38,1.6872
17,,0.56,1.2355,0.40,1.5652
18,,0.49,1.3509,0.41,1.6649
19,,0.55,1.2700,0.17,1.8120
20,,0.54,1.2431,0.41,1.6321
21,,0.55,1.2343,0.41,2.0137
22,,0.49,1.2779,0.33,1.7494
23,,0.56,1.2188,0.39,1.9836
24,,0.53,1.2352,0.40,1.8498
25,,0.55,1.2261,0.35,2.0183
26,,0.55,1.2413,0.39,1.5813
27,,0.57,1.1509,0.41,1.6727
28,,0.52,1.2471,0.18,1.9402
29,created new SGD optimizer with LR: 0.00100000000000000002,0.56,1.1737,0.42,1.4510
30,,0.58,1.2029,0.40,1.8354
31,,0.56,1.1631,0.23,1.6165
32,,0.58,1.1251,0.31,1.5730
33,,0.57,1.1305,0.27,1.5914
34,,0.56,1.1290,0.21,1.6892
35,,0.57,1.1216,0.35,1.5457
36,,0.58,1.1054,0.25,1.6698
37,,0.56,1.1259,0.24,1.6623
38,,0.59,1.0928,0.34,1.5530
39,,0.60,1.0791,0.33,1.5615
40,,0.59,1.1134,0.37,1.5310
41,,0.58,1.1098,0.37,1.5222
42,,0.58,1.1224,0.29,1.5878
43,,0.57,1.1061,0.31,1.6424
44,,0.59,1.0860,0.27,1.7257
45,,0.59,1.1103,0.40,1.5286
46,,0.58,1.1143,0.36,1.5746
47,,0.59,1.0803,0.17,1.8179
48,,0.58,1.1125,0.27,1.6856
49,,0.57,1.0951,0.42,1.5069
