,notes,train_acc,train_loss,val_acc,val_loss
0,,0.48,1.4728,0.42,1.9385
1,,0.55,1.3306,0.43,1.7019
2,,0.55,1.2544,0.43,1.9298
3,,0.59,1.0503,0.46,1.6555
4,,0.63,1.0118,0.43,2.3693
5,,0.65,0.9663,0.25,1.6341
6,,0.71,0.8213,0.29,2.2770
7,,0.78,0.6198,0.21,2.2694
8,,0.77,0.6955,0.26,1.8691
9,,0.83,0.4594,0.15,2.9994
10,,0.88,0.3487,0.23,2.1707
11,,0.89,0.3357,0.35,1.9482
12,,0.92,0.2392,0.29,2.1887
13,,0.97,0.1166,0.44,1.8134
14,,0.96,0.1572,0.36,4.6769
15,,0.96,0.1247,0.17,3.8845
16,,0.98,0.0789,0.14,6.2705
17,,0.98,0.0943,0.25,2.5227
18,,0.96,0.1568,0.24,4.2772
19,,0.95,0.1589,0.10,3.4653
20,,0.99,0.0487,0.29,3.3956
21,,0.97,0.0938,0.27,2.5892
22,,0.99,0.0531,0.19,2.9166
23,,0.99,0.0227,0.23,4.1084
24,,0.99,0.0455,0.29,2.4144
25,,0.99,0.0237,0.02,7.2891
26,,1.00,0.0182,0.12,4.7969
27,,0.99,0.0387,0.29,2.1851
28,,0.99,0.0353,0.45,2.0020
29,created new SGD optimizer with LR: 0.00100000000000000002,1.00,0.0183,0.28,3.0374
30,,1.00,0.0049,0.26,2.8494
31,,1.00,0.0088,0.15,5.4652
32,,0.99,0.0260,0.37,3.6284
33,,1.00,0.0108,0.36,4.7825
34,,1.00,0.0057,0.27,4.0500
35,,1.00,0.0058,0.29,3.6668
36,,1.00,0.0059,0.26,3.5935
37,,1.00,0.0068,0.11,3.4307
38,,0.99,0.0180,0.37,1.8288
39,,0.99,0.0157,0.27,2.0524
40,,0.97,0.0449,0.50,2.1328
41,,0.99,0.0183,0.32,2.4229
42,,1.00,0.0120,0.18,5.2456
43,,1.00,0.0072,0.22,4.4801
44,,1.00,0.0067,0.19,3.9448
45,,1.00,0.0057,0.26,4.2713
46,,1.00,0.0088,0.20,3.6675
47,,1.00,0.0097,0.46,2.1881
48,,1.00,0.0122,0.36,1.7840
49,,1.00,0.0062,0.39,2.3554
