,notes,train_acc,train_loss,val_acc,val_loss
0,,0.44,1.5876,0.24,1.9069
1,,0.48,1.4885,0.19,1.7897
2,,0.49,1.4609,0.43,1.8744
3,,0.55,1.2565,0.29,1.7888
4,,0.52,1.2677,0.42,2.6060
5,,0.57,1.2164,0.38,2.6267
6,,0.57,1.2061,0.09,2.8927
7,,0.54,1.2463,0.46,1.7334
8,,0.54,1.1760,0.42,1.7889
9,,0.56,1.1372,0.43,2.2758
10,,0.59,1.1218,0.25,2.5052
11,,0.60,1.1080,0.44,2.5156
12,,0.58,1.1444,0.43,2.1639
13,,0.65,0.9456,0.24,2.6721
14,,0.61,1.0190,0.29,2.6312
15,,0.60,1.0469,0.16,2.8683
16,,0.63,0.9651,0.29,2.0795
17,,0.63,1.0020,0.45,2.3904
18,,0.62,0.9764,0.30,2.5564
19,,0.62,1.0198,0.42,3.1507
20,,0.63,0.9909,0.46,1.9012
21,,0.67,0.8661,0.46,2.2410
22,,0.67,0.8895,0.38,2.1757
23,,0.65,0.9055,0.45,1.7368
24,,0.64,0.9600,0.30,2.4329
25,,0.68,0.8304,0.43,1.7744
26,,0.66,0.9321,0.42,2.3121
27,,0.71,0.8205,0.42,2.9994
28,,0.64,0.8899,0.45,3.2510
29,created new SGD optimizer with LR: 0.00100000000000000002,0.65,0.9197,0.42,2.9914
30,,0.70,0.8213,0.25,2.5927
31,,0.71,0.7652,0.44,2.2328
32,,0.73,0.6891,0.40,2.2077
33,,0.76,0.6540,0.45,2.1908
34,,0.79,0.5823,0.49,2.1990
35,,0.74,0.6758,0.41,2.0289
36,,0.78,0.6099,0.50,1.8964
37,,0.79,0.6005,0.44,2.3872
38,,0.79,0.5863,0.47,2.0058
39,,0.77,0.6459,0.45,2.3467
40,,0.82,0.5234,0.37,2.0014
41,,0.81,0.5459,0.45,2.0249
42,,0.81,0.5521,0.48,2.5281
43,,0.82,0.5364,0.47,2.4279
44,,0.83,0.5105,0.47,2.0734
45,,0.85,0.4827,0.46,2.2527
46,,0.81,0.5658,0.45,2.4426
47,,0.84,0.5062,0.45,2.0010
48,,0.84,0.5020,0.43,2.2642
49,,0.84,0.4980,0.51,2.0275
