,notes,train_acc,train_loss,val_acc,val_loss
0,,0.49,1.5367,0.27,1.8139
1,,0.60,1.1350,0.43,4.9511
2,,0.67,1.0298,0.07,2.6170
3,,0.70,0.9351,0.43,2.4348
4,,0.74,0.7573,0.43,4.6329
5,,0.80,0.6168,0.28,2.1235
6,,0.82,0.5640,0.07,2.5456
7,,0.88,0.3631,0.22,3.1098
8,,0.93,0.2037,0.46,3.0903
9,,0.92,0.2609,0.38,2.7979
10,,0.95,0.1699,0.43,5.7128
11,,0.93,0.2173,0.51,2.2185
12,,0.95,0.1460,0.46,4.2531
13,,0.98,0.0827,0.40,1.9695
14,,0.98,0.0723,0.36,2.4435
15,,0.99,0.0303,0.39,2.7895
16,,0.97,0.1081,0.46,3.8366
17,,0.98,0.0550,0.46,2.8769
18,,0.97,0.0859,0.51,2.1523
19,,0.99,0.0565,0.48,2.3813
20,,0.99,0.0399,0.53,2.0836
21,,0.99,0.0271,0.52,3.5803
22,,0.99,0.0358,0.40,3.4915
23,,0.99,0.0312,0.45,2.4401
24,,0.99,0.0224,0.49,3.0828
25,,0.99,0.0461,0.41,2.5203
26,,1.00,0.0234,0.45,2.8341
27,,1.00,0.0097,0.49,2.7104
28,,1.00,0.0097,0.47,2.5485
29,created new SGD optimizer with LR: 0.00100000000000000002,1.00,0.0173,0.40,4.8766
30,,0.99,0.0124,0.47,3.7967
31,,0.99,0.0196,0.35,4.5424
32,,0.99,0.0251,0.52,1.9206
33,,0.99,0.0373,0.45,3.1174
34,,0.99,0.0274,0.37,2.4485
35,,1.00,0.0060,0.45,3.5148
36,,1.00,0.0140,0.46,4.7493
37,,0.99,0.0307,0.49,2.8274
38,,1.00,0.0182,0.43,2.8865
39,,1.00,0.0091,0.51,2.0963
40,,1.00,0.0081,0.42,3.9391
41,,1.00,0.0169,0.45,3.1392
42,,1.00,0.0068,0.52,2.0607
43,,1.00,0.0074,0.48,3.9310
44,,1.00,0.0107,0.44,2.8802
45,,1.00,0.0052,0.43,6.4420
46,,0.98,0.0460,0.47,2.7341
47,,1.00,0.0118,0.48,4.0654
48,,1.00,0.0042,0.50,3.5433
49,,0.99,0.0210,0.47,3.7443
