,notes,train_acc,train_loss,val_acc,val_loss
0,,0.38,1.6531,0.24,1.6897
1,,0.39,1.6485,0.43,1.5696
2,,0.46,1.5269,0.30,1.6987
3,,0.47,1.5344,0.47,1.4624
4,,0.48,1.4716,0.45,1.5690
5,,0.45,1.4945,0.31,1.6218
6,,0.50,1.4213,0.37,1.6172
7,,0.48,1.4562,0.45,1.7421
8,,0.46,1.5117,0.29,1.8726
9,,0.51,1.4252,0.47,1.6774
10,,0.46,1.4771,0.37,1.7137
11,,0.46,1.4905,0.47,1.7067
12,,0.48,1.4436,0.43,1.4543
13,,0.49,1.4174,0.46,1.4629
14,,0.52,1.3590,0.45,1.4960
15,,0.50,1.3994,0.49,1.4755
16,,0.50,1.4135,0.46,1.4836
17,,0.51,1.3553,0.40,1.7530
18,,0.50,1.3933,0.33,1.6500
19,,0.52,1.3214,0.49,1.4075
20,,0.53,1.3429,0.22,2.0880
21,,0.53,1.2951,0.43,1.7052
22,,0.53,1.3056,0.47,1.3698
23,,0.50,1.3459,0.46,1.6715
24,,0.51,1.3806,0.45,1.7299
25,,0.50,1.3402,0.20,1.7852
26,,0.50,1.3118,0.39,1.5610
27,,0.51,1.3405,0.46,1.4073
28,,0.56,1.2850,0.35,1.5530
29,created new SGD optimizer with LR: 0.00100000000000000002,0.53,1.3298,0.33,1.6338
30,,0.53,1.2689,0.46,1.3241
31,,0.56,1.1977,0.51,1.2590
32,,0.56,1.1878,0.47,1.3106
33,,0.55,1.1678,0.47,1.2706
34,,0.54,1.2229,0.51,1.2486
35,,0.55,1.1764,0.47,1.3126
36,,0.57,1.1658,0.47,1.2976
37,,0.54,1.1900,0.48,1.3047
38,,0.58,1.1513,0.48,1.2835
39,,0.55,1.1862,0.47,1.3272
40,,0.58,1.1541,0.49,1.2498
41,,0.56,1.1798,0.48,1.3040
42,,0.56,1.1769,0.53,1.2599
43,,0.56,1.1879,0.46,1.2957
44,,0.56,1.1584,0.45,1.3653
45,,0.55,1.1956,0.48,1.2957
46,,0.57,1.1721,0.51,1.2571
47,,0.55,1.1799,0.50,1.2677
48,,0.54,1.1957,0.50,1.3454
49,,0.56,1.1773,0.48,1.2752
