,notes,train_acc,train_loss,val_acc,val_loss
0,,0.41,1.5639,0.45,1.5092
1,,0.48,1.4311,0.53,1.3741
2,,0.51,1.3781,0.52,1.2898
3,,0.58,1.0990,0.55,1.3188
4,,0.59,1.0553,0.42,1.7651
5,,0.64,0.9364,0.51,1.5072
6,,0.72,0.8299,0.51,2.4514
7,,0.73,0.7801,0.51,2.0945
8,,0.76,0.6712,0.51,1.3707
9,,0.80,0.6175,0.39,2.5171
10,,0.82,0.5037,0.42,2.6421
11,,0.86,0.4033,0.48,1.8344
12,,0.92,0.2477,0.51,1.8639
13,,0.91,0.2666,0.36,3.3312
14,,0.94,0.1722,0.56,2.1210
15,,0.96,0.1281,0.58,2.6045
16,,0.92,0.2455,0.58,5.0108
17,,0.95,0.1735,0.56,1.8336
18,,0.95,0.1593,0.57,2.1393
19,,0.97,0.1136,0.60,1.7828
20,,0.96,0.1492,0.57,1.9659
21,,0.98,0.0618,0.47,2.4116
22,,0.98,0.0732,0.53,1.7246
23,,0.99,0.0353,0.60,1.9793
24,,0.97,0.1063,0.50,2.5487
25,,0.99,0.0373,0.62,2.3647
26,,0.99,0.0520,0.58,2.6617
27,,0.99,0.0444,0.64,2.0540
28,,1.00,0.0129,0.61,2.7588
29,created new SGD optimizer with LR: 0.00100000000000000002,0.99,0.0250,0.60,2.1538
30,,0.99,0.0203,0.65,2.2115
31,,1.00,0.0166,0.60,2.4118
32,,0.99,0.0360,0.64,2.2680
33,,1.00,0.0134,0.61,2.5992
34,,0.99,0.0248,0.58,1.9366
35,,1.00,0.0120,0.58,2.1493
36,,0.97,0.0494,0.57,2.6232
37,,0.99,0.0424,0.64,1.9946
38,,1.00,0.0063,0.59,2.1404
39,,1.00,0.0065,0.66,1.4584
40,,0.99,0.0145,0.65,2.3868
41,,1.00,0.0063,0.63,2.1032
42,,1.00,0.0068,0.61,2.6019
43,,1.00,0.0089,0.65,1.5021
44,,0.99,0.0164,0.54,3.3106
45,,1.00,0.0103,0.61,1.5959
46,,1.00,0.0047,0.67,1.5888
47,,1.00,0.0059,0.64,2.0799
48,,1.00,0.0058,0.68,1.4351
49,,1.00,0.0072,0.64,1.8620
