,notes,train_acc,train_loss,val_acc,val_loss
0,,0.39,1.8132,0.43,1.6918
1,,0.41,1.6556,0.43,1.6002
2,,0.41,1.6042,0.42,1.5662
3,,0.42,1.5821,0.43,1.5507
4,,0.41,1.5706,0.43,1.5404
5,,0.41,1.5638,0.43,1.5350
6,,0.42,1.5602,0.43,1.5309
7,,0.43,1.5572,0.42,1.5280
8,,0.41,1.5554,0.43,1.5265
9,,0.41,1.5541,0.44,1.5255
10,,0.41,1.5539,0.42,1.5247
11,,0.41,1.5528,0.43,1.5243
12,,0.41,1.5522,0.43,1.5252
13,,0.41,1.5536,0.43,1.5238
14,,0.43,1.5523,0.44,1.5235
15,,0.41,1.5521,0.43,1.5227
16,,0.42,1.5514,0.42,1.5227
17,,0.42,1.5529,0.42,1.5225
18,,0.43,1.5512,0.43,1.5226
19,,0.42,1.5521,0.43,1.5219
20,,0.41,1.5509,0.42,1.5217
21,,0.42,1.5510,0.42,1.5219
22,,0.42,1.5516,0.43,1.5219
23,,0.43,1.5517,0.43,1.5219
24,,0.42,1.5509,0.43,1.5218
25,,0.41,1.5522,0.43,1.5217
26,,0.43,1.5513,0.43,1.5217
27,,0.41,1.5516,0.43,1.5216
28,,0.43,1.5521,0.43,1.5216
29,created new SGD optimizer with LR: 0.00100000000000000002,0.42,1.5507,0.42,1.5216
30,,0.42,1.5523,0.43,1.5216
31,,0.42,1.5493,0.42,1.5215
32,,0.41,1.5492,0.43,1.5215
33,,0.42,1.5492,0.43,1.5215
34,,0.41,1.5491,0.43,1.5215
35,,0.42,1.5490,0.43,1.5215
36,,0.41,1.5491,0.43,1.5215
37,,0.41,1.5490,0.42,1.5215
38,,0.41,1.5490,0.43,1.5215
39,,0.41,1.5490,0.43,1.5215
40,,0.41,1.5491,0.42,1.5215
41,,0.41,1.5490,0.43,1.5215
42,,0.42,1.5489,0.43,1.5216
43,,0.41,1.5489,0.43,1.5216
44,,0.42,1.5489,0.43,1.5216
45,,0.41,1.5489,0.42,1.5216
46,,0.41,1.5490,0.42,1.5216
47,,0.41,1.5489,0.43,1.5216
48,,0.41,1.5489,0.43,1.5216
49,,0.42,1.5489,0.43,1.5217
