,notes,train_acc,train_loss,val_acc,val_loss
0,,0.40,1.8125,0.43,1.6914
1,,0.41,1.6553,0.42,1.5998
2,,0.41,1.6046,0.43,1.5674
3,,0.41,1.5819,0.43,1.5494
4,,0.42,1.5697,0.42,1.5400
5,,0.41,1.5635,0.42,1.5344
6,,0.43,1.5595,0.43,1.5303
7,,0.41,1.5570,0.43,1.5280
8,,0.43,1.5557,0.42,1.5271
9,,0.41,1.5553,0.43,1.5255
10,,0.41,1.5530,0.43,1.5253
11,,0.41,1.5537,0.42,1.5244
12,,0.41,1.5527,0.43,1.5241
13,,0.42,1.5534,0.43,1.5239
14,,0.43,1.5521,0.42,1.5235
15,,0.41,1.5525,0.42,1.5231
16,,0.43,1.5532,0.42,1.5239
17,,0.41,1.5524,0.42,1.5223
18,,0.41,1.5509,0.42,1.5229
19,,0.41,1.5524,0.43,1.5224
20,,0.42,1.5515,0.43,1.5220
21,,0.41,1.5517,0.43,1.5220
22,,0.42,1.5511,0.42,1.5220
23,,0.41,1.5517,0.43,1.5219
24,,0.41,1.5511,0.43,1.5218
25,,0.42,1.5512,0.43,1.5218
26,,0.41,1.5516,0.42,1.5218
27,,0.42,1.5513,0.43,1.5224
28,,0.41,1.5515,0.42,1.5218
29,created new SGD optimizer with LR: 0.00100000000000000002,0.41,1.5517,0.42,1.5220
30,,0.41,1.5519,0.43,1.5220
31,,0.42,1.5490,0.43,1.5219
32,,0.43,1.5490,0.42,1.5219
33,,0.42,1.5490,0.43,1.5218
34,,0.41,1.5489,0.42,1.5218
35,,0.41,1.5488,0.43,1.5218
36,,0.41,1.5488,0.42,1.5218
37,,0.41,1.5490,0.43,1.5218
38,,0.41,1.5490,0.42,1.5218
39,,0.42,1.5489,0.42,1.5218
40,,0.41,1.5488,0.43,1.5218
41,,0.42,1.5488,0.43,1.5218
42,,0.41,1.5489,0.42,1.5218
43,,0.41,1.5488,0.43,1.5218
44,,0.41,1.5489,0.43,1.5218
45,,0.41,1.5488,0.43,1.5218
46,,0.43,1.5489,0.42,1.5218
47,,0.41,1.5488,0.43,1.5217
48,,0.41,1.5489,0.42,1.5218
49,,0.41,1.5489,0.42,1.5218
