,notes,train_acc,train_loss,val_acc,val_loss
0,,0.39,1.7813,0.43,1.6512
1,,0.39,1.6706,0.43,1.6595
2,,0.40,1.6000,0.42,1.6107
3,,0.41,1.5695,0.43,1.6151
4,,0.40,1.5435,0.43,1.6494
5,,0.41,1.5185,0.24,2.1218
6,,0.40,1.6442,0.42,1.5868
7,,0.41,1.5931,0.43,1.5605
8,,0.41,1.5751,0.42,1.5452
9,,0.41,1.5654,0.42,1.5369
10,,0.41,1.5604,0.42,1.5327
11,,0.41,1.5576,0.43,1.5297
12,,0.41,1.5552,0.43,1.5272
13,,0.41,1.5535,0.43,1.5263
14,,0.42,1.5534,0.43,1.5250
15,,0.41,1.5525,0.42,1.5243
16,,0.41,1.5527,0.43,1.5235
17,,0.43,1.5521,0.43,1.5230
18,,0.42,1.5507,0.43,1.5225
19,,0.41,1.5521,0.43,1.5223
20,,0.41,1.5507,0.42,1.5223
21,,0.42,1.5513,0.42,1.5220
22,,0.42,1.5512,0.42,1.5220
23,,0.42,1.5507,0.43,1.5219
24,,0.42,1.5513,0.42,1.5217
25,,0.41,1.5510,0.43,1.5217
26,,0.42,1.5510,0.43,1.5219
27,,0.43,1.5509,0.43,1.5215
28,,0.42,1.5508,0.43,1.5214
29,created new Adam optimizer with LR: 0.00100000000000000002,0.42,1.5507,0.42,1.5214
30,,0.41,1.5509,0.43,1.5215
31,,0.41,1.5488,0.43,1.5215
32,,0.41,1.5488,0.42,1.5215
33,,0.42,1.5488,0.43,1.5215
34,,0.42,1.5488,0.42,1.5215
35,,0.42,1.5488,0.43,1.5215
36,,0.42,1.5488,0.43,1.5215
37,,0.41,1.5489,0.43,1.5215
38,,0.43,1.5488,0.42,1.5215
39,,0.41,1.5488,0.44,1.5215
40,,0.42,1.5489,0.42,1.5215
41,,0.41,1.5488,0.42,1.5215
42,,0.41,1.5488,0.43,1.5215
43,,0.42,1.5488,0.43,1.5215
44,,0.41,1.5488,0.43,1.5215
45,,0.41,1.5487,0.43,1.5216
46,,0.42,1.5488,0.43,1.5215
47,,0.41,1.5488,0.43,1.5215
48,,0.42,1.5487,0.42,1.5216
49,,0.41,1.5488,0.42,1.5215
