,notes,train_acc,train_loss,val_acc,val_loss
0,,0.35,1.8195,0.43,1.7957
1,,0.42,1.7456,0.43,1.6835
2,,0.41,1.6626,0.43,1.6185
3,,0.41,1.6177,0.43,1.5812
4,,0.41,1.5905,0.43,1.5594
5,,0.41,1.5753,0.43,1.5472
6,,0.41,1.5667,0.43,1.5386
7,,0.41,1.5616,0.43,1.5334
8,,0.41,1.5572,0.42,1.5295
9,,0.42,1.5553,0.42,1.5274
10,,0.41,1.5535,0.43,1.5256
11,,0.41,1.5524,0.43,1.5246
12,,0.42,1.5522,0.43,1.5243
13,,0.42,1.5523,0.42,1.5235
14,,0.42,1.5520,0.43,1.5232
15,,0.42,1.5519,0.43,1.5229
16,,0.42,1.5516,0.42,1.5225
17,,0.41,1.5514,0.43,1.5223
18,,0.41,1.5512,0.43,1.5222
19,,0.42,1.5514,0.43,1.5221
20,,0.41,1.5507,0.43,1.5219
21,,0.41,1.5510,0.43,1.5221
22,,0.42,1.5509,0.43,1.5222
23,,0.41,1.5511,0.43,1.5221
24,,0.41,1.5511,0.43,1.5222
25,,0.42,1.5506,0.43,1.5221
26,,0.42,1.5512,0.43,1.5217
27,,0.42,1.5509,0.43,1.5217
28,,0.41,1.5505,0.43,1.5217
29,created new Adam optimizer with LR: 0.00100000000000000002,0.41,1.5509,0.43,1.5219
30,,0.41,1.5505,0.42,1.5223
31,,0.41,1.5488,0.43,1.5223
32,,0.41,1.5488,0.43,1.5223
33,,0.41,1.5489,0.43,1.5222
34,,0.42,1.5488,0.42,1.5222
35,,0.41,1.5489,0.43,1.5222
36,,0.41,1.5488,0.43,1.5222
37,,0.43,1.5488,0.43,1.5222
38,,0.41,1.5489,0.43,1.5221
39,,0.42,1.5488,0.43,1.5221
40,,0.42,1.5488,0.43,1.5221
41,,0.41,1.5488,0.42,1.5220
42,,0.42,1.5488,0.43,1.5220
43,,0.41,1.5488,0.43,1.5220
44,,0.42,1.5488,0.43,1.5220
45,,0.41,1.5488,0.43,1.5220
46,,0.41,1.5488,0.42,1.5220
47,,0.41,1.5488,0.43,1.5220
48,,0.42,1.5488,0.43,1.5221
49,,0.41,1.5488,0.42,1.5220
