,notes,train_acc,train_loss,val_acc,val_loss
0,,0.38,1.8093,0.42,1.6977
1,,0.41,1.6597,0.43,1.6012
2,,0.41,1.6032,0.43,1.5660
3,,0.41,1.5814,0.42,1.5502
4,,0.42,1.5696,0.43,1.5394
5,,0.41,1.5627,0.43,1.5339
6,,0.42,1.5596,0.43,1.5305
7,,0.41,1.5568,0.42,1.5281
8,,0.42,1.5553,0.43,1.5262
9,,0.41,1.5549,0.43,1.5251
10,,0.43,1.5542,0.43,1.5247
11,,0.41,1.5535,0.42,1.5239
12,,0.42,1.5529,0.43,1.5238
13,,0.41,1.5527,0.43,1.5232
14,,0.41,1.5518,0.43,1.5230
15,,0.41,1.5520,0.43,1.5230
16,,0.41,1.5522,0.43,1.5229
17,,0.41,1.5522,0.43,1.5229
18,,0.41,1.5518,0.43,1.5235
19,,0.41,1.5516,0.43,1.5227
20,,0.41,1.5512,0.43,1.5224
21,,0.41,1.5515,0.42,1.5221
22,,0.41,1.5511,0.42,1.5223
23,,0.41,1.5513,0.42,1.5220
24,,0.41,1.5519,0.43,1.5225
25,,0.41,1.5513,0.42,1.5220
26,,0.43,1.5513,0.43,1.5221
27,,0.41,1.5516,0.43,1.5219
28,,0.41,1.5516,0.43,1.5222
29,created new SGD optimizer with LR: 0.00100000000000000002,0.42,1.5515,0.43,1.5223
30,,0.41,1.5508,0.42,1.5222
31,,0.41,1.5489,0.42,1.5221
32,,0.41,1.5490,0.43,1.5221
33,,0.41,1.5490,0.42,1.5221
34,,0.42,1.5491,0.43,1.5221
35,,0.41,1.5489,0.43,1.5221
36,,0.43,1.5489,0.43,1.5221
37,,0.41,1.5489,0.42,1.5220
38,,0.41,1.5490,0.43,1.5220
39,,0.42,1.5489,0.43,1.5220
40,,0.41,1.5489,0.42,1.5220
41,,0.41,1.5489,0.43,1.5220
42,,0.41,1.5489,0.43,1.5220
43,,0.41,1.5490,0.43,1.5220
44,,0.41,1.5490,0.43,1.5220
45,,0.43,1.5489,0.43,1.5220
46,,0.42,1.5489,0.43,1.5219
47,,0.41,1.5489,0.43,1.5219
48,,0.42,1.5489,0.43,1.5218
49,,0.41,1.5488,0.43,1.5218
