,notes,train_acc,train_loss,val_acc,val_loss
0,,0.41,1.7996,0.43,1.7030
1,,0.41,1.6653,0.42,1.6057
2,,0.42,1.6041,0.43,1.5664
3,,0.41,1.5811,0.43,1.5498
4,,0.41,1.5703,0.42,1.5407
5,,0.41,1.5645,0.42,1.5353
6,,0.42,1.5608,0.43,1.5316
7,,0.42,1.5574,0.42,1.5286
8,,0.42,1.5559,0.43,1.5267
9,,0.41,1.5552,0.44,1.5252
10,,0.42,1.5533,0.43,1.5245
11,,0.41,1.5534,0.43,1.5244
12,,0.41,1.5530,0.43,1.5244
13,,0.43,1.5531,0.43,1.5232
14,,0.42,1.5531,0.42,1.5229
15,,0.42,1.5523,0.43,1.5226
16,,0.42,1.5525,0.43,1.5224
17,,0.41,1.5514,0.43,1.5227
18,,0.41,1.5523,0.42,1.5228
19,,0.41,1.5514,0.43,1.5227
20,,0.42,1.5521,0.43,1.5222
21,,0.42,1.5516,0.43,1.5220
22,,0.41,1.5520,0.42,1.5220
23,,0.41,1.5525,0.42,1.5217
24,,0.42,1.5520,0.42,1.5217
25,,0.42,1.5522,0.42,1.5217
26,,0.41,1.5518,0.42,1.5215
27,,0.42,1.5512,0.43,1.5218
28,,0.43,1.5513,0.43,1.5216
29,created new SGD optimizer with LR: 0.00100000000000000002,0.41,1.5510,0.43,1.5215
30,,0.42,1.5511,0.43,1.5218
31,,0.41,1.5490,0.43,1.5218
32,,0.41,1.5489,0.43,1.5218
33,,0.43,1.5489,0.42,1.5217
34,,0.41,1.5489,0.42,1.5217
35,,0.41,1.5489,0.42,1.5217
36,,0.41,1.5490,0.43,1.5217
37,,0.42,1.5489,0.42,1.5217
38,,0.42,1.5488,0.43,1.5217
39,,0.42,1.5488,0.43,1.5217
40,,0.41,1.5489,0.43,1.5216
41,,0.42,1.5489,0.43,1.5217
42,,0.42,1.5490,0.42,1.5216
43,,0.42,1.5489,0.43,1.5216
44,,0.41,1.5489,0.43,1.5216
45,,0.42,1.5489,0.43,1.5216
46,,0.41,1.5489,0.43,1.5216
47,,0.41,1.5489,0.42,1.5217
48,,0.41,1.5488,0.43,1.5216
49,,0.41,1.5489,0.43,1.5217
