,notes,train_acc,train_loss,val_acc,val_loss
0,,0.42,1.5802,0.43,1.5749
1,,0.40,1.6077,0.24,1.9104
2,,0.45,1.5342,0.45,1.5425
3,,0.47,1.4726,0.50,1.4586
4,,0.49,1.4484,0.16,2.2649
5,,0.46,1.4927,0.25,2.1682
6,,0.48,1.4251,0.51,1.6283
7,,0.46,1.4528,0.46,1.4520
8,,0.53,1.3522,0.38,1.5668
9,,0.50,1.3642,0.46,1.5220
10,,0.54,1.3582,0.28,2.1473
11,,0.50,1.4020,0.48,1.4541
12,,0.50,1.3994,0.35,1.5307
13,,0.52,1.3413,0.51,1.4853
14,,0.52,1.3347,0.49,1.4154
15,,0.53,1.2860,0.50,1.4695
16,,0.49,1.4092,0.55,1.3434
17,,0.54,1.2605,0.49,1.4393
18,,0.51,1.3533,0.44,1.5495
19,,0.54,1.2793,0.52,1.4563
20,,0.51,1.2844,0.47,1.3944
21,,0.51,1.3971,0.52,1.2880
22,,0.50,1.3186,0.46,1.3937
23,,0.51,1.3134,0.40,1.5250
24,,0.54,1.2547,0.44,1.3347
25,,0.56,1.2217,0.48,1.4446
26,,0.53,1.2568,0.52,1.6868
27,,0.54,1.3010,0.48,1.2648
28,,0.55,1.2446,0.51,1.4659
29,created new SGD optimizer with LR: 0.00100000000000000002,0.54,1.2285,0.47,1.8290
30,,0.53,1.2996,0.43,1.4272
31,,0.57,1.1666,0.51,1.2959
32,,0.54,1.1583,0.50,1.3391
33,,0.59,1.1573,0.52,1.2620
34,,0.57,1.1113,0.45,1.4970
35,,0.57,1.1355,0.49,1.3474
36,,0.57,1.1493,0.55,1.2227
37,,0.57,1.1341,0.49,1.2737
38,,0.56,1.1329,0.46,1.4066
39,,0.58,1.1611,0.46,1.4981
40,,0.55,1.1341,0.52,1.2554
41,,0.59,1.1090,0.53,1.2173
42,,0.57,1.1577,0.50,1.3201
43,,0.58,1.1144,0.52,1.3226
44,,0.58,1.1261,0.52,1.2842
45,,0.58,1.1200,0.43,1.5502
46,,0.56,1.1480,0.50,1.3643
47,,0.55,1.1275,0.51,1.2726
48,,0.58,1.1376,0.51,1.3114
49,,0.58,1.1314,0.58,1.2332
