,notes,train_acc,train_loss,val_acc,val_loss
0,,0.47,1.5324,0.52,1.4584
1,,0.54,1.3349,0.46,2.2993
2,,0.55,1.2167,0.27,1.4835
3,,0.58,1.1874,0.55,1.2372
4,,0.60,0.9640,0.47,1.4599
5,,0.68,0.8506,0.44,2.9862
6,,0.73,0.7252,0.55,1.8916
7,,0.76,0.6784,0.49,3.4635
8,,0.79,0.5722,0.63,1.5824
9,,0.81,0.5494,0.52,1.8973
10,,0.88,0.3660,0.37,3.0353
11,,0.91,0.2820,0.62,1.7694
12,,0.91,0.2558,0.63,1.5758
13,,0.91,0.3283,0.51,2.9032
14,,0.94,0.2007,0.66,2.2063
15,,0.93,0.2180,0.63,1.7858
16,,0.93,0.2203,0.61,1.4587
17,,0.91,0.2757,0.50,2.6561
18,,0.97,0.1216,0.64,1.2988
19,,0.99,0.0415,0.53,2.5029
20,,0.98,0.0520,0.57,2.3606
21,,0.97,0.0964,0.63,1.6178
22,,0.99,0.0277,0.62,1.8586
23,,0.99,0.0403,0.70,1.8642
24,,0.98,0.0593,0.55,2.2423
25,,0.98,0.0642,0.68,1.6111
26,,0.99,0.0324,0.68,1.7699
27,,0.99,0.0389,0.69,1.8272
28,,1.00,0.0122,0.67,1.7552
29,created new SGD optimizer with LR: 0.00100000000000000002,0.98,0.0571,0.71,2.0325
30,,0.97,0.0881,0.74,1.5162
31,,0.99,0.0376,0.72,1.5690
32,,0.99,0.0327,0.70,1.7839
33,,0.99,0.0416,0.71,2.1420
34,,0.99,0.0324,0.66,2.4006
35,,0.99,0.0278,0.69,2.5588
36,,1.00,0.0212,0.66,3.3779
37,,1.00,0.0099,0.67,3.9631
38,,1.00,0.0161,0.48,2.9855
39,,0.99,0.0211,0.52,2.3486
40,,0.99,0.0193,0.64,1.9581
41,,1.00,0.0038,0.66,1.4713
42,,1.00,0.0092,0.55,2.9321
43,,0.99,0.0175,0.66,1.8092
44,,0.99,0.0212,0.56,2.3942
45,,1.00,0.0174,0.59,1.9867
46,,0.97,0.0454,0.62,4.1563
47,,0.99,0.0434,0.60,2.1053
48,,0.99,0.0296,0.67,1.6693
49,,0.99,0.0257,0.68,1.6168
