,notes,train_acc,train_loss,val_acc,val_loss
0,,0.49,1.5084,0.43,87.8286
1,,0.47,1.4705,0.08,1.9315
2,,0.49,1.4289,0.24,1.5913
3,,0.47,1.4849,0.43,3.7694
4,,0.52,1.3717,0.04,1.9375
5,,0.49,1.4541,0.43,1.7670
6,,0.52,1.3066,0.43,1.6921
7,,0.49,1.4087,0.43,1.8035
8,,0.51,1.3506,0.24,1.8752
9,,0.51,1.3868,0.04,2.3353
10,,0.02,nan,0.02,nan
11,,0.03,nan,0.02,nan
12,,0.02,nan,0.02,nan
13,,0.02,nan,0.02,nan
14,,0.02,nan,0.02,nan
15,,0.02,nan,0.02,nan
16,,0.02,nan,0.02,nan
17,,0.02,nan,0.02,nan
18,,0.02,nan,0.02,nan
19,,0.02,nan,0.02,nan
20,,0.02,nan,0.02,nan
21,,0.02,nan,0.02,nan
22,,0.02,nan,0.02,nan
23,,0.02,nan,0.02,nan
24,,0.02,nan,0.02,nan
25,,0.02,nan,0.02,nan
26,,0.02,nan,0.02,nan
27,,0.02,nan,0.02,nan
28,,0.02,nan,0.02,nan
29,created new Adam optimizer with LR: 0.00100000000000000002,0.02,nan,0.02,nan
30,,0.02,nan,0.02,nan
31,,0.02,nan,0.02,nan
32,,0.02,nan,0.02,nan
33,,0.02,nan,0.02,nan
34,,0.02,nan,0.02,nan
35,,0.02,nan,0.02,nan
36,,0.02,nan,0.02,nan
37,,0.02,nan,0.02,nan
38,,0.02,nan,0.02,nan
39,,0.02,nan,0.02,nan
40,,0.02,nan,0.02,nan
41,,0.02,nan,0.02,nan
42,,0.02,nan,0.02,nan
43,,0.02,nan,0.02,nan
44,,0.02,nan,0.02,nan
45,,0.02,nan,0.02,nan
46,,0.02,nan,0.02,nan
47,,0.02,nan,0.02,nan
48,,0.02,nan,0.02,nan
49,,0.02,nan,0.02,nan
