,notes,train_acc,train_loss,val_acc,val_loss
0,,0.45,1.5921,0.46,1.9496
1,,0.45,1.5058,0.29,1.9879
2,,0.50,1.4042,0.52,1.5100
3,,0.48,1.4068,0.52,1.5942
4,,0.52,1.3104,0.50,1.6349
5,,0.54,1.2550,0.49,1.3896
6,,0.54,1.2841,0.28,2.2966
7,,0.55,1.2233,0.53,1.6459
8,,0.56,1.2163,0.56,1.5317
9,,0.55,1.1617,0.51,1.6892
10,,0.57,1.1483,0.56,1.5385
11,,0.57,1.1522,0.57,1.4136
12,,0.58,1.1571,0.50,1.7761
13,,0.58,1.1291,0.37,3.0868
14,,0.56,1.2195,0.44,2.7477
15,,0.61,1.0903,0.50,2.8583
16,,0.52,1.3473,0.26,2.0493
17,,0.50,1.4770,0.16,11.2493
18,,0.50,1.3506,0.25,11.7077
19,,0.54,1.2806,0.11,6.0163
20,,0.53,1.2865,0.02,24.8839
21,,0.52,1.3686,0.07,12.6148
22,,0.50,1.4688,0.02,61.3741
23,,0.55,1.3216,0.24,51.8346
24,,0.52,1.4312,0.25,85.3451
25,,0.53,1.2812,0.24,168.0550
26,,0.54,1.3363,0.24,117.0435
27,,0.57,1.2922,0.24,61.0272
28,,0.54,1.3075,0.16,35.3862
29,created new SGD optimizer with LR: 0.00100000000000000002,0.53,1.2839,0.25,58.6920
30,,0.54,1.2876,0.02,63.3526
31,,0.59,1.0587,0.02,24.9812
32,,0.61,1.0459,0.25,94.1475
33,,0.60,1.0513,0.02,46.5065
34,,0.64,0.9657,0.25,42.9204
35,,0.66,0.9279,0.25,44.7726
36,,0.64,0.9438,0.25,116.7467
37,,0.65,0.9052,0.24,65.1078
38,,0.62,0.9800,0.24,183.2575
39,,0.63,0.9474,0.24,54.5618
40,,0.67,0.8736,0.02,24.5848
41,,0.62,1.0178,0.25,69.8728
42,,0.63,0.9301,0.25,44.5346
43,,0.67,0.8530,0.02,30.4172
44,,0.65,0.8877,0.24,97.6223
45,,0.64,0.9274,0.02,21.2528
46,,0.66,0.9122,0.02,28.6059
47,,0.65,0.9474,0.24,52.3398
48,,0.65,0.9193,0.02,21.1174
49,,0.66,0.8828,0.24,79.5750
