,notes,train_acc,train_loss,val_acc,val_loss
0,,0.53,1.3548,0.46,1.8838
1,,0.58,1.2165,0.36,2.3664
2,,0.64,1.0342,0.22,4.0643
3,,0.72,0.7956,0.45,2.7306
4,,0.77,0.7120,0.36,2.8262
5,,0.82,0.5331,0.35,3.1407
6,,0.82,0.5617,0.43,3.7653
7,,0.88,0.3944,0.69,1.6449
8,,0.90,0.2953,0.48,3.4063
9,,0.89,0.3730,0.54,2.1037
10,,0.94,0.1914,0.65,2.1461
11,,0.96,0.0976,0.63,2.1426
12,,0.97,0.1183,0.67,1.9320
13,,0.99,0.0399,0.59,2.7744
14,,1.00,0.0230,0.59,2.5596
15,,0.99,0.0298,0.68,1.3735
16,,0.99,0.0301,0.74,1.4493
17,,0.98,0.0772,0.68,1.5409
18,,0.99,0.0349,0.61,1.7953
19,,0.99,0.0438,0.65,2.6641
20,,0.99,0.0304,0.55,1.9738
21,,0.99,0.0328,0.72,2.0598
22,,1.00,0.0182,0.78,1.3346
23,,1.00,0.0154,0.71,1.8518
24,,0.99,0.0300,0.72,2.2819
25,,1.00,0.0111,0.79,1.1158
26,,1.00,0.0090,0.77,0.8881
27,,1.00,0.0083,0.67,1.7809
28,,1.00,0.0094,0.73,1.5854
29,created new SGD optimizer with LR: 0.00100000000000000002,0.99,0.0400,0.75,1.5033
30,,1.00,0.0111,0.74,1.5751
31,,0.99,0.0452,0.63,2.0967
32,,1.00,0.0150,0.53,3.1941
33,,1.00,0.0130,0.68,1.9574
34,,1.00,0.0116,0.70,2.5924
35,,1.00,0.0151,0.76,1.5550
36,,1.00,0.0076,0.75,0.9980
37,,1.00,0.0063,0.69,1.3733
38,,1.00,0.0064,0.78,0.9774
39,,0.99,0.0255,0.61,2.0851
40,,1.00,0.0173,0.70,1.8248
41,,0.99,0.0132,0.62,2.7344
42,,1.00,0.0066,0.71,2.0159
43,,1.00,0.0049,0.59,1.8145
44,,1.00,0.0071,0.69,1.5573
45,,0.99,0.0430,0.66,1.5581
46,,1.00,0.0132,0.65,1.4102
47,,0.98,0.0680,0.75,1.5147
48,,0.99,0.0116,0.62,3.8801
49,,1.00,0.0112,0.64,1.8878
