,notes,train_acc,train_loss,val_acc,val_loss
0,,0.39,1.6172,0.48,1.5073
1,,0.41,1.6088,0.48,1.6076
2,,0.45,1.5349,0.27,1.8735
3,,0.46,1.5178,0.41,1.5424
4,,0.46,1.5074,0.43,1.5362
5,,0.46,1.5142,0.42,1.6247
6,,0.44,1.5351,0.24,2.0223
7,,0.49,1.4773,0.32,1.9292
8,,0.50,1.4814,0.23,1.7914
9,,0.46,1.4928,0.36,1.8057
10,,0.48,1.4479,0.49,1.5188
11,,0.47,1.4584,0.30,1.7034
12,,0.48,1.4460,0.49,1.6314
13,,0.48,1.4690,0.48,1.6232
14,,0.50,1.4648,0.34,1.7732
15,,0.51,1.4223,0.45,1.5823
16,,0.48,1.4007,0.16,2.0019
17,,0.45,1.4612,0.51,1.4612
18,,0.48,1.4159,0.31,1.6978
19,,0.45,1.4795,0.32,1.5678
20,,0.52,1.3562,0.47,1.4215
21,,0.49,1.3992,0.43,1.4925
22,,0.49,1.4016,0.51,1.5943
23,,0.55,1.2959,0.51,1.4721
24,,0.53,1.2979,0.44,1.7010
25,,0.47,1.4225,0.47,1.7410
26,,0.49,1.4291,0.45,1.4585
27,,0.52,1.2650,0.50,1.3915
28,,0.53,1.2660,0.40,1.4049
29,created new SGD optimizer with LR: 0.00100000000000000002,0.53,1.3443,0.52,1.4422
30,,0.53,1.2898,0.53,1.4437
31,,0.52,1.2949,0.45,1.3833
32,,0.54,1.2143,0.51,1.3460
33,,0.53,1.2428,0.50,1.3336
34,,0.55,1.2560,0.51,1.3215
35,,0.53,1.2129,0.51,1.3393
36,,0.53,1.2248,0.49,1.3247
37,,0.55,1.2141,0.52,1.3223
38,,0.52,1.2276,0.48,1.4904
39,,0.55,1.2282,0.53,1.3311
40,,0.56,1.2163,0.51,1.3078
41,,0.54,1.2381,0.49,1.3284
42,,0.53,1.2073,0.49,1.3778
43,,0.55,1.2552,0.46,1.4114
44,,0.56,1.1975,0.51,1.3015
45,,0.55,1.2103,0.44,1.4005
46,,0.54,1.2428,0.54,1.3151
47,,0.53,1.2544,0.54,1.3071
48,,0.55,1.2080,0.39,1.5300
49,,0.54,1.2364,0.54,1.2955
