,notes,train_acc,train_loss,val_acc,val_loss
0,,0.44,1.5839,0.51,1.4448
1,,0.49,1.4115,0.30,1.6640
2,,0.52,1.3172,0.53,1.3267
3,,0.55,1.2186,0.47,1.5449
4,,0.58,1.1123,0.40,1.6840
5,,0.62,1.0419,0.54,1.2903
6,,0.74,0.7753,0.41,2.2345
7,,0.72,0.8643,0.36,2.1409
8,,0.75,0.7109,0.53,1.6671
9,,0.83,0.5254,0.49,2.3651
10,,0.81,0.5522,0.62,1.4369
11,,0.86,0.4526,0.56,1.7952
12,,0.92,0.2323,0.53,1.7694
13,,0.93,0.2106,0.63,2.2963
14,,0.93,0.2472,0.44,2.8982
15,,0.96,0.1753,0.61,2.1051
16,,0.97,0.1267,0.64,2.5531
17,,0.97,0.1235,0.60,1.7611
18,,0.98,0.0855,0.63,2.0183
19,,0.94,0.2209,0.62,1.9534
20,,0.97,0.0908,0.64,2.2359
21,,0.98,0.0792,0.41,4.2018
22,,0.98,0.0604,0.57,2.5511
23,,0.99,0.0379,0.64,1.4816
24,,0.98,0.0790,0.63,2.9810
25,,0.98,0.0594,0.64,1.5841
26,,0.97,0.0868,0.59,2.3071
27,,0.99,0.0474,0.67,1.8434
28,,0.99,0.0297,0.74,1.5540
29,created new SGD optimizer with LR: 0.00100000000000000002,1.00,0.0157,0.65,2.2987
30,,0.99,0.0190,0.73,1.4575
31,,0.98,0.0473,0.65,2.2297
32,,0.99,0.0251,0.63,1.7330
33,,1.00,0.0132,0.70,2.4181
34,,0.99,0.0214,0.61,2.3179
35,,1.00,0.0157,0.67,1.3411
36,,1.00,0.0107,0.69,1.4772
37,,1.00,0.0093,0.70,1.3519
38,,1.00,0.0128,0.66,1.8292
39,,0.99,0.0196,0.66,1.6460
40,,1.00,0.0053,0.66,1.8284
41,,1.00,0.0050,0.71,1.4534
42,,0.99,0.0212,0.71,2.1878
43,,0.97,0.0341,0.68,2.2081
44,,0.99,0.0229,0.68,1.6038
45,,1.00,0.0118,0.59,1.7342
46,,1.00,0.0094,0.66,1.7511
47,,1.00,0.0107,0.72,1.3245
48,,1.00,0.0076,0.67,1.4241
49,,1.00,0.0126,0.60,2.0754
