,notes,train_acc,train_loss,val_acc,val_loss
0,,0.45,1.5407,0.48,1.5287
1,,0.56,1.2745,0.43,1.8321
2,,0.56,1.2265,0.55,1.4401
3,,0.62,1.0336,0.39,1.9753
4,,0.64,0.9583,0.48,2.5444
5,,0.64,0.9606,0.59,1.1370
6,,0.67,0.8792,0.60,1.3098
7,,0.71,0.8108,0.61,1.1187
8,,0.75,0.6861,0.50,1.6524
9,,0.75,0.7087,0.56,2.5766
10,,0.77,0.6031,0.40,2.6904
11,,0.78,0.5894,0.66,0.9857
12,,0.84,0.4315,0.59,1.3671
13,,0.84,0.4413,0.36,4.0303
14,,0.81,0.5533,0.71,1.1792
15,,0.83,0.4921,0.64,1.5193
16,,0.86,0.3711,0.73,0.9709
17,,0.88,0.3310,0.64,1.9331
18,,0.89,0.2952,0.67,1.5859
19,,0.93,0.2442,0.54,3.2595
20,,0.92,0.2119,0.73,0.9879
21,,0.93,0.2156,0.68,1.1174
22,,0.95,0.1567,0.75,1.0145
23,,0.95,0.1495,0.58,1.8930
24,,0.96,0.1184,0.77,0.7502
25,,0.97,0.1136,0.61,1.7308
26,,0.93,0.1904,0.72,0.8784
27,,0.95,0.1463,0.74,0.8458
28,,0.98,0.0713,0.71,1.6953
29,created new SGD optimizer with LR: 0.00100000000000000002,0.98,0.0536,0.78,0.8082
30,,0.98,0.0808,0.76,1.1967
31,,0.97,0.0857,0.76,0.8187
32,,0.98,0.0468,0.74,1.0146
33,,0.99,0.0319,0.78,1.0425
34,,0.99,0.0499,0.80,0.8021
35,,0.99,0.0359,0.82,0.6905
36,,0.99,0.0409,0.75,0.9667
37,,0.99,0.0289,0.77,1.1198
38,,1.00,0.0230,0.81,0.7785
39,,0.99,0.0332,0.74,1.0586
40,,1.00,0.0201,0.81,0.7362
41,,1.00,0.0179,0.78,1.3450
42,,1.00,0.0249,0.80,0.7822
43,,0.99,0.0290,0.80,0.7553
44,,0.99,0.0302,0.73,1.4396
45,,1.00,0.0181,0.83,0.6453
46,,1.00,0.0182,0.77,0.8947
47,,0.99,0.0255,0.75,1.2236
48,,1.00,0.0135,0.80,0.9800
49,,1.00,0.0212,0.77,1.3369
