,notes,train_acc,train_loss,val_acc,val_loss
0,,0.45,1.5244,0.27,1.8150
1,,0.51,1.3048,0.27,1.7993
2,,0.57,1.1644,0.28,2.0477
3,,0.57,1.1070,0.49,1.5492
4,,0.62,0.9592,0.60,1.3399
5,,0.68,0.8672,0.50,2.1245
6,,0.65,0.9498,0.57,1.4029
7,,0.66,0.8910,0.34,2.1355
8,,0.72,0.7270,0.58,1.3756
9,,0.75,0.7058,0.48,2.0325
10,,0.77,0.6176,0.28,3.5361
11,,0.74,0.6773,0.43,1.7291
12,,0.83,0.5088,0.55,3.7508
13,,0.83,0.4777,0.63,1.3059
14,,0.86,0.3986,0.65,1.5131
15,,0.89,0.2980,0.62,1.3749
16,,0.83,0.4905,0.58,1.4922
17,,0.92,0.2513,0.47,2.8389
18,,0.91,0.2571,0.50,5.9230
19,,0.91,0.2925,0.65,1.3454
20,,0.97,0.1130,0.62,1.5961
21,,0.98,0.0737,0.61,2.6904
22,,0.98,0.0798,0.47,4.4879
23,,0.98,0.0687,0.69,2.2482
24,,0.99,0.0432,0.71,1.7697
25,,0.98,0.0662,0.55,5.6604
26,,0.98,0.0905,0.72,1.6892
27,,0.99,0.0444,0.70,1.7032
28,,0.99,0.0508,0.64,1.7315
29,created new SGD optimizer with LR: 0.00100000000000000002,0.98,0.0579,0.72,2.0867
30,,0.99,0.0351,0.76,1.2954
31,,0.99,0.0240,0.80,1.0076
32,,1.00,0.0136,0.76,1.2139
33,,1.00,0.0106,0.75,1.2682
34,,1.00,0.0116,0.74,1.5599
35,,1.00,0.0053,0.74,1.0609
36,,1.00,0.0037,0.78,1.6040
37,,1.00,0.0168,0.78,1.2311
38,,1.00,0.0147,0.70,1.3667
39,,1.00,0.0106,0.66,1.5805
40,,1.00,0.0066,0.76,1.5785
41,,1.00,0.0113,0.74,1.7631
42,,1.00,0.0074,0.71,2.6789
43,,1.00,0.0088,0.75,1.3827
44,,0.99,0.0077,0.69,1.9127
45,,0.99,0.0147,0.76,1.7780
46,,1.00,0.0113,0.66,1.4827
47,,0.99,0.0150,0.78,1.4691
48,,1.00,0.0024,0.77,1.0430
49,,1.00,0.0049,0.73,1.1784
