,notes,train_acc,train_loss,val_acc,val_loss
0,,0.71,0.9971,0.48,2.7758
1,,0.84,0.5574,0.61,2.4670
2,,0.89,0.3509,0.62,1.9571
3,,0.95,0.1724,0.70,1.2275
4,,0.96,0.1347,0.72,1.8183
5,,0.98,0.0713,0.70,1.5660
6,,0.97,0.1199,0.72,1.3686
7,,0.99,0.0334,0.72,1.3134
8,,0.97,0.1575,0.73,1.3068
9,,0.98,0.0671,0.77,2.1004
10,,0.97,0.1223,0.77,1.6082
11,,0.98,0.0431,0.76,1.4174
12,,0.99,0.0444,0.80,1.7347
13,,0.99,0.0201,0.76,1.3062
14,,0.98,0.0516,0.68,2.3388
15,,0.98,0.0678,0.74,1.3165
16,,0.99,0.0219,0.72,1.5637
17,,0.98,0.0476,0.64,2.5409
18,,0.99,0.0477,0.75,1.7408
19,,0.99,0.0396,0.75,1.3392
20,,0.99,0.0258,0.69,1.9097
21,,0.99,0.0220,0.76,1.1838
22,,1.00,0.0079,0.80,0.9591
23,,0.99,0.0126,0.78,1.4954
24,,0.99,0.0321,0.78,2.2309
25,,1.00,0.0150,0.75,1.4820
26,,1.00,0.0098,0.75,1.6544
27,,1.00,0.0036,0.74,1.8907
28,,1.00,0.0092,0.77,1.4924
29,created new SGD optimizer with LR: 0.00100000000000000002,1.00,0.0045,0.75,2.4767
30,,1.00,0.0043,0.82,1.1582
31,,0.98,0.0420,0.75,3.5780
32,,0.99,0.0234,0.79,0.9501
33,,1.00,0.0076,0.79,1.2808
34,,0.99,0.0316,0.74,1.2174
35,,1.00,0.0020,0.81,1.2062
36,,1.00,0.0060,0.75,1.2840
37,,1.00,0.0065,0.83,0.8261
38,,1.00,0.0009,0.76,1.1648
39,,1.00,0.0014,0.79,1.5101
40,,0.99,0.0055,0.64,2.7118
41,,1.00,0.0025,0.77,1.5899
42,,1.00,0.0015,0.82,1.1468
43,,1.00,0.0007,0.80,1.2971
44,,1.00,0.0010,0.77,1.1293
45,,1.00,0.0097,0.78,0.8875
46,,1.00,0.0024,0.83,0.7989
47,,1.00,0.0044,0.79,1.6855
48,,1.00,0.0075,0.84,0.8885
49,,1.00,0.0015,0.80,1.7416
