,notes,train_acc,train_loss,val_acc,val_loss
0,,0.48,1.7876,0.46,1.9243
1,,0.65,1.0953,0.53,1.4431
2,,0.69,0.9397,0.57,1.3081
3,,0.74,0.8083,0.34,2.5032
4,,0.70,0.9628,0.50,2.1618
5,,0.69,0.9234,0.57,1.2799
6,,0.77,0.7068,0.67,1.1781
7,created new SGD optimizer with LR: 0.00100000000000000002,0.77,0.7388,0.41,1.9262
8,,0.79,0.6474,0.62,1.2174
9,,0.84,0.4170,0.63,1.2352
10,,0.82,0.4425,0.59,1.1972
11,,0.82,0.4840,0.59,1.1716
12,,0.82,0.4943,0.59,1.3271
13,,0.85,0.4299,0.59,1.1923
14,,0.84,0.4032,0.56,1.3347
15,created new SGD optimizer with LR: 0.0001,0.82,0.4797,0.55,1.5016
16,,0.84,0.4381,0.55,1.3518
17,,0.85,0.4294,0.57,1.5002
18,,0.83,0.4272,0.64,1.1255
19,,0.82,0.4655,0.58,1.1509
20,,0.88,0.3372,0.59,1.1043
21,,0.84,0.4032,0.63,1.3931
22,,0.86,0.3815,0.61,1.1470
23,created new SGD optimizer with LR: 0.00001,0.86,0.3974,0.60,1.2118
24,,0.86,0.3847,0.60,1.1712
25,,0.84,0.3916,0.63,1.2148
26,,0.87,0.3448,0.60,1.0643
27,,0.87,0.3560,0.53,1.3765
28,,0.86,0.3940,0.55,1.4344
29,,0.86,0.3767,0.58,1.1826
30,,0.90,0.3012,0.59,1.1914
31,created new SGD optimizer with LR: 0.000001,0.85,0.4004,0.54,1.6402
32,,0.86,0.3838,0.59,1.1588
33,,0.86,0.3994,0.52,1.4280
34,,0.87,0.3375,0.59,1.2282
35,,0.85,0.3632,0.57,1.4331
36,,0.87,0.3535,0.57,1.3377
37,,0.88,0.3364,0.65,1.0958
38,,0.87,0.3689,0.58,1.3844
39,created new SGD optimizer with LR: 0.0000001,0.85,0.3861,0.61,1.3081
40,,0.87,0.3663,0.53,1.4446
41,,0.84,0.4112,0.61,1.1077
42,,0.85,0.4004,0.48,1.8238
43,,0.89,0.3143,0.55,1.3433
44,,0.85,0.3878,0.60,1.3772
45,,0.86,0.3684,0.53,1.4787
46,,0.85,0.3658,0.54,1.2581
47,created new SGD optimizer with LR: 0.00000001,0.83,0.4446,0.62,1.0869
48,,0.85,0.3957,0.59,1.2432
49,,0.86,0.3675,0.58,1.3966
