,notes,train_acc,train_loss,val_acc,val_loss
0,,0.37,1.5922,0.49,1.6343
1,,0.44,1.5582,0.43,1.7184
2,,0.44,1.5158,0.30,1.6304
3,,0.44,1.5047,0.46,1.3846
4,,0.46,1.4146,0.50,1.4945
5,,0.47,1.4061,0.40,1.4263
6,,0.51,1.3696,0.39,1.5024
7,created new Adam optimizer with LR: 0.00100000000000000002,0.52,1.3612,0.51,1.3072
8,,0.49,1.3596,0.45,1.6295
9,,0.51,1.4012,0.50,1.2765
10,,0.50,1.3001,0.51,1.2599
11,,0.52,1.2806,0.48,1.2996
12,,0.51,1.2703,0.52,1.2826
13,,0.52,1.2564,0.53,1.2853
14,,0.53,1.2617,0.49,1.2765
15,created new Adam optimizer with LR: 0.0001,0.54,1.2525,0.51,1.2865
16,,0.52,1.2396,0.52,1.2709
17,,0.52,1.2627,0.50,1.2745
18,,0.54,1.2346,0.49,1.2570
19,,0.52,1.2626,0.49,1.2475
20,,0.55,1.2370,0.51,1.2608
21,,0.52,1.2355,0.53,1.2718
22,,0.52,1.2540,0.49,1.2462
23,created new Adam optimizer with LR: 0.00001,0.54,1.2378,0.51,1.2514
24,,0.55,1.2291,0.51,1.2614
25,,0.55,1.2309,0.51,1.2653
26,,0.54,1.2392,0.51,1.3023
27,,0.54,1.2418,0.52,1.2593
28,,0.52,1.2526,0.49,1.2842
29,,0.54,1.2378,0.53,1.2627
30,,0.55,1.2393,0.48,1.3399
31,created new Adam optimizer with LR: 0.000001,0.55,1.2224,0.52,1.2613
32,,0.53,1.2342,0.49,1.2933
33,,0.53,1.2347,0.50,1.2481
34,,0.50,1.2525,0.48,1.2677
35,,0.55,1.2328,0.52,1.3064
36,,0.52,1.2369,0.52,1.2510
37,,0.54,1.2348,0.53,1.2855
38,,0.53,1.2441,0.46,1.3283
39,created new Adam optimizer with LR: 0.0000001,0.54,1.2362,0.49,1.2543
40,,0.53,1.2363,0.54,1.2765
41,,0.52,1.2474,0.54,1.2499
42,,0.54,1.2380,0.54,1.2624
43,,0.54,1.2480,0.52,1.2623
44,,0.55,1.2217,0.50,1.2757
45,,0.53,1.2566,0.50,1.2573
46,,0.54,1.2335,0.52,1.2509
47,created new Adam optimizer with LR: 0.00000001,0.55,1.2117,0.54,1.2816
48,,0.51,1.2586,0.48,1.2682
49,,0.52,1.2398,0.52,1.2885
