,notes,train_acc,train_loss,val_acc,val_loss
0,,0.49,1.5152,0.52,2.1287
1,,0.48,1.3430,0.52,1.2578
2,,0.55,1.1522,0.37,2.0233
3,,0.60,1.0548,0.48,1.6240
4,,0.61,0.9499,0.49,1.3304
5,,0.63,0.9300,0.55,1.3052
6,,0.70,0.8321,0.44,2.2454
7,,0.70,0.7623,0.54,1.4570
8,,0.74,0.6742,0.45,3.7135
9,,0.77,0.6070,0.65,1.2311
10,,0.83,0.4607,0.54,1.5141
11,,0.82,0.5199,0.48,1.4605
12,,0.81,0.5472,0.62,1.1242
13,,0.84,0.4512,0.57,1.8993
14,,0.83,0.4383,0.66,1.2817
15,,0.87,0.3665,0.65,1.2199
16,,0.90,0.2919,0.57,1.7316
17,,0.92,0.2294,0.73,1.0634
18,,0.92,0.2425,0.71,1.3356
19,,0.95,0.1612,0.72,1.1141
20,,0.95,0.1503,0.67,1.2626
21,,0.95,0.1781,0.80,0.7135
22,,0.94,0.1700,0.73,1.3669
23,,0.97,0.1104,0.62,2.2055
24,,0.96,0.1276,0.60,2.4171
25,,0.98,0.0821,0.74,1.0858
26,,0.99,0.0511,0.74,1.0799
27,,0.98,0.0632,0.72,1.5096
28,,0.97,0.0894,0.72,1.6848
29,created new SGD optimizer with LR: 0.00100000000000000002,0.97,0.0937,0.76,0.9843
30,,0.96,0.1107,0.62,1.7637
31,,0.97,0.1010,0.77,0.9950
32,,0.99,0.0505,0.79,0.8864
33,,0.99,0.0351,0.78,0.8705
34,,0.98,0.0400,0.76,1.3357
35,,0.99,0.0354,0.78,0.7523
36,,0.99,0.0274,0.77,0.9888
37,,1.00,0.0191,0.76,0.9875
38,,0.99,0.0295,0.73,1.2121
39,,1.00,0.0211,0.77,0.8756
40,,0.99,0.0315,0.77,0.6850
41,,0.99,0.0283,0.78,1.0160
42,,1.00,0.0254,0.72,1.7481
43,,1.00,0.0203,0.73,1.3315
44,,1.00,0.0196,0.77,1.1952
45,,1.00,0.0162,0.74,1.2895
46,,0.99,0.0251,0.75,1.2236
47,,1.00,0.0148,0.80,0.7437
48,,1.00,0.0221,0.77,1.0649
49,,1.00,0.0185,0.83,0.7691
