,notes,train_acc,train_loss,val_acc,val_loss
0,,0.50,1.4578,0.39,2.0749
1,,0.53,1.2637,0.48,1.5713
2,,0.58,1.1375,0.57,1.8215
3,,0.56,1.1697,0.48,2.5299
4,,0.63,0.9775,0.57,1.5432
5,,0.67,0.8981,0.53,1.7722
6,,0.70,0.8100,0.58,1.2294
7,,0.70,0.7951,0.50,2.6404
8,,0.75,0.6796,0.53,1.9712
9,,0.76,0.6319,0.66,1.6721
10,,0.78,0.5584,0.57,1.9325
11,,0.84,0.4699,0.60,1.8483
12,,0.87,0.3948,0.61,2.5041
13,,0.91,0.2742,0.53,2.2829
14,,0.93,0.2057,0.45,3.2799
15,,0.93,0.2180,0.59,1.9755
16,,0.94,0.1774,0.33,6.3744
17,,0.90,0.3337,0.67,1.8637
18,,0.95,0.1546,0.42,4.1545
19,,0.94,0.1973,0.72,1.2989
20,,0.98,0.0949,0.74,1.4607
21,,0.97,0.0900,0.62,2.0030
22,,0.98,0.0616,0.74,1.9700
23,,0.98,0.0774,0.64,1.8993
24,,0.98,0.0479,0.73,1.9885
25,,0.99,0.0443,0.67,2.3150
26,,0.99,0.0256,0.68,2.4952
27,,1.00,0.0210,0.76,1.5833
28,,0.99,0.0343,0.78,1.3839
29,created new SGD optimizer with LR: 0.00100000000000000002,1.00,0.0173,0.68,1.8736
30,,0.99,0.0233,0.73,2.1017
31,,1.00,0.0179,0.71,1.6782
32,,0.99,0.0214,0.73,1.5598
33,,1.00,0.0088,0.74,1.5602
34,,1.00,0.0051,0.74,1.9164
35,,0.99,0.0157,0.73,1.5783
36,,1.00,0.0105,0.78,1.1056
37,,0.99,0.0193,0.78,1.7896
38,,1.00,0.0089,0.72,3.2203
39,,1.00,0.0028,0.76,1.5671
40,,1.00,0.0069,0.73,3.1801
41,,1.00,0.0095,0.78,0.9988
42,,1.00,0.0026,0.74,1.2063
43,,1.00,0.0045,0.75,2.3157
44,,1.00,0.0069,0.75,1.3919
45,,1.00,0.0085,0.77,1.2999
46,,1.00,0.0070,0.73,2.1550
47,,1.00,0.0038,0.73,1.5892
48,,1.00,0.0055,0.78,1.9226
49,,1.00,0.0075,0.73,2.2052
