,notes,train_acc,train_loss,val_acc,val_loss
0,,0.48,5.0295,0.25,6.8087
1,,0.47,5.1180,0.43,5.1999
2,,0.52,4.3144,0.40,8.3324
3,,0.55,3.7536,0.45,5.2337
4,,0.55,3.8460,0.25,6.4112
5,,0.56,3.4642,0.17,6.4710
6,,0.62,3.2765,0.27,9.4695
7,created new SGD optimizer with LR: 0.00100000000000000002,0.59,3.4705,0.15,8.0371
8,,0.59,3.3922,0.34,4.8900
9,,0.69,2.5701,0.24,6.2159
10,,0.68,2.4825,0.20,6.7287
11,,0.73,2.1618,0.26,5.2273
12,,0.73,2.1240,0.30,5.1359
13,,0.73,2.0673,0.49,4.5710
14,,0.74,2.1076,0.28,5.8784
15,created new SGD optimizer with LR: 0.0001,0.75,1.9812,0.25,6.1345
16,,0.77,1.7674,0.33,6.3986
17,,0.80,1.6588,0.35,5.9075
18,,0.79,1.6117,0.24,8.0144
19,,0.82,1.3893,0.36,5.4342
20,,0.83,1.4293,0.24,7.9902
21,,0.85,1.3282,0.25,8.7047
22,,0.83,1.4152,0.24,9.8142
23,created new SGD optimizer with LR: 0.00001,0.84,1.2314,0.25,9.7790
24,,0.84,1.2368,0.25,9.7524
25,,0.81,1.5377,0.26,8.9794
26,,0.87,1.1516,0.26,7.0194
27,,0.85,1.2502,0.25,8.3420
28,,0.84,1.3668,0.29,9.4034
29,,0.87,1.2233,0.24,9.2983
30,,0.85,1.2863,0.30,7.2832
31,created new SGD optimizer with LR: 0.000001,0.80,1.5769,0.27,8.7457
32,,0.82,1.4351,0.24,8.5170
33,,0.85,1.3757,0.25,8.9916
34,,0.87,1.2681,0.29,6.4346
35,,0.84,1.2654,0.34,5.7083
36,,0.84,1.3971,0.24,8.2854
37,,0.85,1.2328,0.26,7.7721
38,,0.86,1.2135,0.27,7.5983
39,created new SGD optimizer with LR: 0.0000001,0.87,1.2462,0.31,5.5893
40,,0.86,1.2867,0.27,7.5223
41,,0.85,1.2745,0.25,8.3015
42,,0.84,1.3591,0.24,10.0080
43,,0.87,1.1830,0.40,5.2286
44,,0.84,1.2540,0.28,8.8550
45,,0.84,1.3888,0.27,6.9153
46,,0.84,1.3941,0.24,8.5533
47,created new SGD optimizer with LR: 0.00000001,0.84,1.3630,0.26,7.7407
48,,0.85,1.2638,0.27,7.3157
49,,0.87,1.1729,0.25,9.6117
