,notes,train_acc,train_loss,val_acc,val_loss
0,,0.42,1.6263,0.17,8.9527
1,,0.50,1.4127,0.43,5.8671
2,,0.57,1.3020,0.43,11.0343
3,,0.61,1.1542,0.42,13.2351
4,,0.64,1.0560,0.17,10.0327
5,,0.76,0.8195,0.17,9.2287
6,,0.79,0.7811,0.16,14.7944
7,created new SGD optimizer with LR: 0.00100000000000000002,0.83,0.7127,0.18,12.1440
8,,0.87,0.6636,0.16,14.5890
9,,0.89,0.6169,0.11,14.2354
10,,0.94,0.5479,0.09,13.6638
11,,0.89,0.6031,0.14,13.7137
12,,0.94,0.5272,0.12,14.9597
13,,0.93,0.5591,0.14,14.9891
14,,0.96,0.5167,0.12,14.9420
15,created new SGD optimizer with LR: 0.0001,0.93,0.5567,0.14,15.4236
16,,0.96,0.5029,0.10,14.0712
17,,0.94,0.5232,0.16,14.2620
18,,0.95,0.5525,0.08,14.7057
19,,0.96,0.5162,0.10,16.9658
20,,0.97,0.5048,0.15,14.7206
21,,0.95,0.5184,0.16,13.5226
22,,0.97,0.4968,0.10,16.8284
23,created new SGD optimizer with LR: 0.00001,0.95,0.5487,0.09,15.9035
24,,0.94,0.5323,0.10,14.7298
25,,0.96,0.4923,0.10,16.6180
26,,0.95,0.5290,0.15,14.3147
27,,0.93,0.5329,0.11,14.4033
28,,0.95,0.5248,0.10,15.0623
29,,0.96,0.5123,0.10,15.8106
30,,0.98,0.4957,0.10,15.3598
31,created new SGD optimizer with LR: 0.000001,0.96,0.5170,0.10,13.5412
32,,0.96,0.5173,0.09,17.2423
33,,0.96,0.4976,0.09,14.7545
34,,0.94,0.5245,0.09,14.5569
35,,0.96,0.5109,0.11,17.3016
36,,0.97,0.5017,0.12,15.1322
37,,0.97,0.5176,0.12,13.3723
38,,0.96,0.4926,0.11,13.6860
39,created new SGD optimizer with LR: 0.0000001,0.97,0.5212,0.09,18.0098
40,,0.96,0.5295,0.12,15.2187
41,,0.96,0.5273,0.09,15.7455
42,,0.96,0.5052,0.09,15.2698
43,,0.93,0.5484,0.09,16.5808
44,,0.96,0.5005,0.08,16.9649
45,,0.96,0.5304,0.11,14.3273
46,,0.96,0.5226,0.12,15.5803
47,created new SGD optimizer with LR: 0.00000001,0.96,0.5333,0.15,13.7082
48,,0.94,0.5337,0.18,17.8359
49,,0.95,0.5156,0.13,17.0310
