,notes,train_acc,train_loss,val_acc,val_loss
0,,0.48,1.5593,0.04,9.1967
1,,0.57,1.2994,0.25,7.7356
2,,0.63,1.0746,0.15,7.4515
3,,0.70,0.8446,0.03,7.4587
4,,0.75,0.7544,0.37,5.0485
5,,0.82,0.5352,0.17,7.8127
6,,0.84,0.4778,0.29,6.7901
7,created new SGD optimizer with LR: 0.00100000000000000002,0.87,0.4227,0.16,13.6620
8,,0.93,0.2367,0.17,12.7312
9,,0.92,0.2976,0.16,10.7336
10,,0.98,0.1043,0.17,9.9589
11,,0.98,0.0926,0.16,13.1159
12,,0.96,0.1542,0.17,11.9099
13,,0.97,0.1208,0.17,11.8811
14,,0.97,0.1456,0.16,15.9536
15,created new SGD optimizer with LR: 0.0001,0.99,0.0478,0.18,12.3924
16,,0.99,0.0662,0.17,13.5650
17,,0.98,0.0977,0.16,13.4063
18,,0.99,0.0746,0.17,8.6095
19,,0.99,0.0461,0.16,11.5580
20,,0.99,0.0753,0.16,14.9757
21,,0.98,0.0757,0.18,11.8835
22,,0.98,0.0751,0.17,12.1116
23,created new SGD optimizer with LR: 0.00001,0.97,0.0790,0.22,7.7602
24,,0.99,0.0516,0.16,15.8575
25,,0.99,0.0815,0.17,11.4362
26,,0.98,0.0463,0.16,14.4942
27,,0.99,0.0691,0.16,13.3450
28,,0.99,0.0547,0.16,11.9029
29,,0.98,0.0710,0.16,19.5677
30,,0.99,0.0645,0.16,15.8320
31,created new SGD optimizer with LR: 0.000001,0.98,0.0874,0.16,16.5195
32,,0.97,0.1091,0.16,13.5545
33,,1.00,0.0418,0.17,11.8985
34,,0.99,0.0641,0.16,13.7249
35,,0.99,0.0662,0.16,14.2652
36,,0.97,0.0630,0.27,8.6239
37,,0.99,0.0598,0.16,14.3348
38,,0.98,0.0602,0.16,13.7899
39,created new SGD optimizer with LR: 0.0000001,0.98,0.0861,0.18,12.8509
40,,0.98,0.0616,0.17,13.0407
41,,0.98,0.0768,0.16,13.7457
42,,0.99,0.0620,0.16,20.1352
43,,0.99,0.0669,0.16,14.5581
44,,0.99,0.0604,0.18,10.3023
45,,0.98,0.0890,0.16,14.1479
46,,0.99,0.0622,0.16,13.9110
47,created new SGD optimizer with LR: 0.00000001,0.99,0.0454,0.16,14.2723
48,,0.98,0.0919,0.18,12.4371
49,,0.99,0.0631,0.16,11.8472
