,notes,train_acc,train_loss,val_acc,val_loss
0,,0.42,1.6870,0.40,6.6424
1,,0.45,1.3772,0.43,6.6409
2,,0.50,1.2075,0.43,6.2298
3,,0.56,1.1367,0.43,5.8244
4,,0.64,1.0311,0.41,5.8434
5,,0.65,1.0064,0.43,5.9346
6,,0.70,0.9614,0.43,5.9404
7,created new SGD optimizer with LR: 0.00100000000000000002,0.73,0.9490,0.43,5.8987
8,,0.72,0.9371,0.43,6.3930
9,,0.80,0.9157,0.43,5.8086
10,,0.78,0.9008,0.43,5.7056
11,,0.82,0.8797,0.43,5.9915
12,,0.84,0.8598,0.43,5.6014
13,,0.81,0.8845,0.43,5.8625
14,,0.80,0.8917,0.43,5.7686
15,created new SGD optimizer with LR: 0.0001,0.78,0.8948,0.43,5.7808
16,,0.83,0.8726,0.43,5.6259
17,,0.82,0.8847,0.42,5.8658
18,,0.81,0.8823,0.43,6.0598
19,,0.81,0.8850,0.43,5.5761
20,,0.80,0.9047,0.42,5.9271
21,,0.80,0.8894,0.43,5.8854
22,,0.81,0.8745,0.43,5.7416
23,created new SGD optimizer with LR: 0.00001,0.84,0.8634,0.43,6.0509
24,,0.81,0.8832,0.43,5.6001
25,,0.81,0.8857,0.42,5.8657
26,,0.83,0.8645,0.43,6.0725
27,,0.82,0.8770,0.42,5.6999
28,,0.77,0.9167,0.43,6.1702
29,,0.83,0.8759,0.42,5.8309
30,,0.82,0.8729,0.43,5.4997
31,created new SGD optimizer with LR: 0.000001,0.83,0.8847,0.42,5.6925
32,,0.84,0.8604,0.42,5.9808
33,,0.80,0.8892,0.43,6.2177
34,,0.83,0.8607,0.43,5.8048
35,,0.80,0.8949,0.43,5.7398
36,,0.85,0.8613,0.43,5.8691
37,,0.80,0.8920,0.42,5.7222
38,,0.82,0.8742,0.42,5.8692
39,created new SGD optimizer with LR: 0.0000001,0.82,0.8795,0.43,5.9974
40,,0.78,0.8932,0.43,6.0275
41,,0.83,0.8787,0.43,5.7395
42,,0.82,0.8745,0.43,6.1072
43,,0.82,0.8634,0.43,6.0619
44,,0.84,0.8723,0.42,5.8757
45,,0.83,0.8652,0.43,5.9798
46,,0.83,0.8752,0.42,5.7418
47,created new SGD optimizer with LR: 0.00000001,0.83,0.8718,0.43,5.8618
48,,0.78,0.9052,0.43,5.8823
49,,0.78,0.9040,0.42,6.0585
