,notes,train_acc,train_loss,val_acc,val_loss
0,,0.60,1.2167,0.16,12.3330
1,,0.66,1.0214,0.24,5.8568
2,,0.72,0.8927,0.16,16.1108
3,,0.77,0.6649,0.43,13.9063
4,,0.81,0.5856,0.43,16.8677
5,,0.89,0.3472,0.45,6.4376
6,,0.90,0.3619,0.41,14.0066
7,created new SGD optimizer with LR: 0.00100000000000000002,0.89,0.3355,0.16,14.1259
8,,0.95,0.1556,0.43,15.7871
9,,0.95,0.1673,0.42,11.1322
10,,0.98,0.0726,0.44,10.7305
11,,0.98,0.0924,0.37,15.0414
12,,0.96,0.1426,0.16,20.2986
13,,0.96,0.1013,0.43,11.2662
14,,0.98,0.0673,0.33,12.3635
15,created new SGD optimizer with LR: 0.0001,0.99,0.0539,0.16,13.1012
16,,0.99,0.0500,0.18,15.3571
17,,0.96,0.0827,0.40,17.1664
18,,0.99,0.0338,0.16,17.5685
19,,0.99,0.0498,0.22,16.0978
20,,0.99,0.0516,0.16,17.8243
21,,0.98,0.0710,0.42,12.2125
22,,0.99,0.0392,0.16,18.4511
23,created new SGD optimizer with LR: 0.00001,1.00,0.0290,0.25,13.4174
24,,0.99,0.0593,0.32,13.8011
25,,1.00,0.0370,0.17,16.0099
26,,1.00,0.0309,0.21,15.6189
27,,0.98,0.0629,0.16,16.9295
28,,0.98,0.0612,0.36,11.3959
29,,0.99,0.0354,0.39,11.0718
30,,1.00,0.0293,0.36,12.5184
31,created new SGD optimizer with LR: 0.000001,0.99,0.0334,0.16,13.2623
32,,0.99,0.0424,0.36,12.0820
33,,0.97,0.0783,0.40,16.1537
34,,1.00,0.0284,0.37,13.4164
35,,0.98,0.0392,0.42,12.5985
36,,0.98,0.0614,0.43,9.6911
37,,0.98,0.0573,0.43,10.8167
38,,0.97,0.0805,0.16,17.4496
39,created new SGD optimizer with LR: 0.0000001,0.96,0.1361,0.16,14.9165
40,,0.98,0.0629,0.44,11.0582
41,,0.99,0.0439,0.27,16.1956
42,,0.98,0.0465,0.42,16.2535
43,,1.00,0.0361,0.42,14.3083
44,,0.99,0.0346,0.37,12.6382
45,,0.97,0.1042,0.37,17.5715
46,,0.99,0.0428,0.18,15.0505
47,created new SGD optimizer with LR: 0.00000001,0.99,0.0542,0.44,10.6881
48,,0.99,0.0511,0.25,13.2985
49,,0.99,0.0340,0.25,15.1158
