,notes,train_acc,train_loss,val_acc,val_loss
0,,0.58,1.4072,0.43,6.9000
1,,0.49,1.5653,0.43,6.0582
2,,0.47,1.5255,0.04,6.0434
3,,0.50,1.4762,0.25,5.2925
4,,0.53,1.3601,0.44,5.2163
5,,0.49,1.4236,0.24,5.3940
6,,0.53,1.2713,0.43,4.8400
7,created new Adam optimizer with LR: 0.00100000000000000002,0.52,1.3168,0.16,5.5810
8,,0.50,1.3726,0.44,4.8275
9,,0.53,1.2590,0.43,4.9040
10,,0.55,1.2282,0.43,5.0016
11,,0.54,1.2291,0.42,5.0940
12,,0.56,1.1765,0.42,5.3099
13,,0.56,1.1652,0.43,4.9652
14,,0.57,1.1869,0.43,5.3790
15,created new Adam optimizer with LR: 0.0001,0.58,1.1119,0.42,5.3815
16,,0.60,1.1064,0.42,5.4332
17,,0.64,1.0185,0.43,5.5227
18,,0.61,1.0398,0.42,5.2691
19,,0.62,1.0303,0.42,5.0945
20,,0.61,1.0568,0.25,5.6532
21,,0.58,1.0713,0.43,5.3538
22,,0.63,0.9892,0.07,5.5979
23,created new Adam optimizer with LR: 0.00001,0.62,1.0372,0.25,5.6590
24,,0.63,1.0395,0.08,5.5371
25,,0.64,0.9766,0.25,5.5686
26,,0.61,1.0220,0.25,5.5012
27,,0.65,0.9826,0.43,5.2090
28,,0.64,1.0184,0.24,5.6211
29,,0.62,0.9990,0.43,5.2887
30,,0.66,0.9618,0.25,5.7104
31,created new Adam optimizer with LR: 0.000001,0.62,1.0008,0.43,5.2683
32,,0.64,0.9878,0.24,5.5266
33,,0.65,1.0003,0.24,5.6463
34,,0.63,0.9885,0.24,6.0802
35,,0.62,1.0018,0.07,5.5626
36,,0.63,0.9904,0.25,5.2470
37,,0.65,0.9533,0.43,5.1607
38,,0.63,1.0032,0.24,5.3191
39,created new Adam optimizer with LR: 0.0000001,0.66,0.9764,0.25,5.4901
40,,0.65,0.9791,0.25,5.5765
41,,0.63,1.0391,0.43,5.1926
42,,0.60,1.0518,0.24,5.3593
43,,0.65,0.9528,0.24,5.6390
44,,0.64,0.9766,0.24,5.5330
45,,0.60,1.0359,0.24,5.6380
46,,0.65,0.9716,0.25,5.5712
47,created new Adam optimizer with LR: 0.00000001,0.61,1.0420,0.24,5.5560
48,,0.64,1.0086,0.08,5.4332
49,,0.63,1.0610,0.07,5.4008
