,notes,train_acc,train_loss,val_acc,val_loss
0,,0.49,1.5033,0.46,1.6754
1,,0.57,1.1690,0.45,1.9412
2,,0.56,1.1319,0.41,1.5101
3,,0.62,0.9965,0.48,1.5988
4,,0.67,0.8425,0.54,1.4644
5,,0.68,0.8065,0.57,1.5300
6,,0.68,0.8102,0.62,1.2096
7,created new SGD optimizer with LR: 0.00100000000000000002,0.72,0.7211,0.47,1.9194
8,,0.78,0.5920,0.60,1.3658
9,,0.80,0.5345,0.68,0.9987
10,,0.86,0.4088,0.69,0.9007
11,,0.84,0.4142,0.70,0.8184
12,,0.86,0.4028,0.75,0.8288
13,,0.87,0.3970,0.72,0.7880
14,,0.88,0.3650,0.72,0.9004
15,created new SGD optimizer with LR: 0.0001,0.86,0.3770,0.69,0.9235
16,,0.89,0.3713,0.60,0.8921
17,,0.89,0.3095,0.70,1.0898
18,,0.89,0.3179,0.72,0.9556
19,,0.89,0.3230,0.70,1.0939
20,,0.90,0.2998,0.74,0.8975
21,,0.88,0.3170,0.69,0.9955
22,,0.89,0.3356,0.75,0.8350
23,created new SGD optimizer with LR: 0.00001,0.88,0.3312,0.69,0.8939
24,,0.88,0.3459,0.68,1.1601
25,,0.88,0.3359,0.72,0.8258
26,,0.87,0.3624,0.69,0.9911
27,,0.90,0.3067,0.75,0.7826
28,,0.89,0.3479,0.59,0.9759
29,,0.93,0.2745,0.78,0.7312
30,,0.89,0.3210,0.68,1.2204
31,created new SGD optimizer with LR: 0.000001,0.90,0.3032,0.74,0.8578
32,,0.90,0.2962,0.68,0.8910
33,,0.89,0.3161,0.69,1.0553
34,,0.90,0.3058,0.74,0.7628
35,,0.91,0.2939,0.72,0.6591
36,,0.91,0.2896,0.71,0.7171
37,,0.91,0.2942,0.70,0.6810
38,,0.90,0.3093,0.72,0.8673
39,created new SGD optimizer with LR: 0.0000001,0.90,0.3102,0.68,0.8627
40,,0.90,0.3146,0.73,0.9107
41,,0.89,0.3310,0.65,0.9393
42,,0.90,0.2837,0.68,1.0458
43,,0.89,0.3314,0.76,0.7418
44,,0.90,0.3235,0.72,0.8334
45,,0.89,0.3326,0.67,0.9699
46,,0.90,0.3204,0.74,0.7588
47,created new SGD optimizer with LR: 0.00000001,0.90,0.3191,0.70,0.9243
48,,0.90,0.3212,0.76,0.6629
49,,0.88,0.3589,0.73,0.7834
