,notes,train_acc,train_loss,val_acc,val_loss
0,,0.47,1.5329,0.35,1.6811
1,,0.57,1.2202,0.42,3.2844
2,,0.58,1.1303,0.55,1.2762
3,,0.60,1.0596,0.45,2.0205
4,,0.66,0.9376,0.42,1.5675
5,,0.66,0.8546,0.51,1.4042
6,,0.73,0.7414,0.46,2.6625
7,created new SGD optimizer with LR: 0.00100000000000000002,0.72,0.7456,0.49,1.9279
8,,0.76,0.6203,0.57,1.7533
9,,0.76,0.5440,0.72,0.7209
10,,0.86,0.3875,0.70,0.9154
11,,0.86,0.3436,0.67,1.3505
12,,0.87,0.3527,0.76,0.6477
13,,0.88,0.3070,0.66,0.8758
14,,0.90,0.2888,0.75,0.6582
15,created new SGD optimizer with LR: 0.0001,0.90,0.2635,0.73,0.7071
16,,0.91,0.2690,0.79,0.7025
17,,0.93,0.2213,0.75,0.8562
18,,0.95,0.1912,0.69,0.8729
19,,0.93,0.2023,0.73,1.1510
20,,0.94,0.1847,0.76,0.8507
21,,0.95,0.1759,0.77,0.7737
22,,0.97,0.1434,0.78,0.6442
23,created new SGD optimizer with LR: 0.00001,0.92,0.2133,0.75,0.7728
24,,0.95,0.1618,0.74,0.8064
25,,0.96,0.1615,0.78,0.6618
26,,0.96,0.1565,0.77,0.8698
27,,0.95,0.1567,0.77,0.9395
28,,0.95,0.1747,0.75,0.7783
29,,0.92,0.2142,0.78,0.6543
30,,0.95,0.1758,0.78,0.6679
31,created new SGD optimizer with LR: 0.000001,0.95,0.1630,0.82,0.6433
32,,0.92,0.2052,0.70,1.4304
33,,0.95,0.1716,0.80,0.6895
34,,0.93,0.1904,0.69,0.8670
35,,0.94,0.1985,0.76,0.8348
36,,0.94,0.1936,0.78,0.8484
37,,0.94,0.1814,0.74,1.0534
38,,0.93,0.1853,0.71,0.9110
39,created new SGD optimizer with LR: 0.0000001,0.93,0.2281,0.77,0.6658
40,,0.94,0.1902,0.79,0.7168
41,,0.95,0.1528,0.74,0.8273
42,,0.94,0.1899,0.78,0.9418
43,,0.93,0.1835,0.75,0.7094
44,,0.96,0.1573,0.73,1.0378
45,,0.94,0.1937,0.76,0.8523
46,,0.92,0.1952,0.76,1.0213
47,created new SGD optimizer with LR: 0.00000001,0.95,0.1890,0.76,0.8667
48,,0.94,0.1801,0.78,0.6702
49,,0.93,0.2077,0.75,0.7955
